t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.177176, 0.0287313, 9.75906, 0.00639178, -0.0010653, -0.00852238, 0.00477045, -0.010832, -0.25567, 0.966692
0.00594616, 0.177176, 0.0191542, 9.66808, 0.00426119, -0, -0.00958767, 0.00477097, -0.0108318, -0.255624, 0.966704
0.0179625, 0.172388, 0.0574626, 9.66808, 0.00426119, -0, -0.0117183, 0.00477148, -0.0108316, -0.255577, 0.966716
0.0299525, 0.172388, 0.052674, 9.71597, 0.00213059, 0.0010653, -0.0127836, 0.004772, -0.0108313, -0.255531, 0.966728
0.0359495, 0.196331, 0.0143656, 9.75906, 0.00213059, -0.00532648, -0.00639178, 0.00472618, -0.0108189, -0.255485, 0.966741
0.0479648, 0.177176, 0.0574626, 9.69681, 0.00532648, -0.00319589, -0.00639178, 0.00471445, -0.010865, -0.255438, 0.966753
0.0599554, 0.148445, 0.0239427, 9.7016, 0.00213059, -0, -0.010653, 0.00471549, -0.0108645, -0.255346, 0.966777
0.065944, 0.153234, 0.0622511, 9.77343, 0.00319589, -0.0010653, -0.00958767, 0.00471601, -0.0108643, -0.255299, 0.96679
0.0779464, 0.153234, 0.0670397, 9.66329, 0.00639178, -0.0010653, -0.0117183, 0.00471653, -0.0108641, -0.255253, 0.966802
0.0899374, 0.138868, 0.0287313, 9.63935, 0.00213059, -0.00213059, -0.00958767, 0.00471705, -0.0108639, -0.255207, 0.966814
0.0959709, 0.167599, 0.0766168, 9.67287, 0.0010653, -0.00319589, -0.00852238, 0.00471809, -0.0108634, -0.255114, 0.966838
0.107941, 0.186753, 0.0574626, 9.72554, 0.00319589, -0.00213059, -0.00745708, 0.00467226, -0.010851, -0.255068, 0.966851
0.119982, 0.148445, 0.0718282, 9.71118, 0.0010653, -0, -0.00852238, 0.0046733, -0.0108505, -0.254975, 0.966875
0.125949, 0.181965, 0.00478855, 9.64893, 0.00426119, -0.00426119, -0.00639178, 0.00467382, -0.0108503, -0.254929, 0.966888
0.137944, 0.172388, 0.0670397, 9.75428, 0.00532648, -0.0010653, -0.00745708, 0.00466212, -0.0108964, -0.254882, 0.966899
0.149948, 0.138868, 0.0287313, 9.70639, 0.00319589, 0.00426119, -0.00745708, 0.00467538, -0.0108496, -0.25479, 0.966924
0.155941, 0.129291, 0.0718282, 9.67287, 0.00745708, -0, -0.00852238, 0.0046759, -0.0108494, -0.254744, 0.966936
0.167936, 0.153234, -0, 9.74949, 0.00426119, 0.0010653, -0.00852238, 0.00468864, -0.0108028, -0.254698, 0.966949
0.179952, 0.205908, 0.10056, 9.75906, 0.00745708, -0.0010653, -0.00852238, 0.00468916, -0.0108026, -0.254651, 0.966961
0.186003, 0.186753, 0.0287313, 9.71118, 0.00319589, -0, -0.00852238, 0.00467746, -0.0108487, -0.254605, 0.966973
0.197952, 0.138868, 0.0383084, 9.68724, 0.00639178, -0.00319589, -0.00958767, 0.00469019, -0.0108021, -0.254559, 0.966986
0.20996, 0.186753, 0.0766168, 9.67766, 0.00213059, 0.0010653, -0.0117183, 0.0046785, -0.0108483, -0.254512, 0.966997
0.215953, 0.105348, 0.0670397, 9.68724, 0.00532648, -0.0010653, -0.00745708, 0.00469123, -0.0108017, -0.254466, 0.96701
0.227954, 0.181965, 0.0574626, 9.75428, 0.00532648, -0, -0.00852238, 0.00469227, -0.0108012, -0.254373, 0.967034
0.239959, 0.172388, 0.0814053, 9.76864, 0.00639178, -0, -0.00958767, 0.00469227, -0.0108012, -0.254373, 0.967034
0.245966, 0.153234, 0.0095771, 9.73033, 0.0010653, -0.00213059, -0.00852238, 0.0046933, -0.0108008, -0.25428, 0.967059
0.257951, 0.196331, 0.0670397, 9.74949, 0.00639178, -0, -0.00745708, 0.00469382, -0.0108006, -0.254234, 0.967071
0.269945, 0.177176, 0.0814053, 9.62977, 0.00426119, -0, -0.0127836, 0.00469434, -0.0108003, -0.254188, 0.967083
0.275974, 0.215485, 0.0670397, 9.68724, 0.00745708, -0.00213059, -0.010653, 0.00468266, -0.0108465, -0.254141, 0.967095
0.28798, 0.158022, 0.0574626, 9.63456, 0.00745708, -0, -0.00958767, 0.00472955, -0.0108584, -0.254094, 0.967107
0.299958, 0.162811, 0.052674, 9.66329, 0, -0, -0.00532648, 0.00473007, -0.0108582, -0.254048, 0.967119
0.305972, 0.148445, 0.0622511, 9.69681, 0.00958767, -0, -0.00852238, 0.00474277, -0.0108116, -0.254002, 0.967132
0.317958, 0.153234, 0.0239427, 9.67766, 0.00319589, -0, -0.00639178, 0.00474381, -0.0108112, -0.253909, 0.967156
0.329951, 0.110137, 0.052674, 9.63935, 0.00639178, -0.00213059, -0.00745708, 0.00474432, -0.0108109, -0.253863, 0.967168
0.335951, 0.181965, 0.0383084, 9.7447, 0.00532648, -0, -0.00958767, 0.00474484, -0.0108107, -0.253816, 0.96718
0.347949, 0.124502, 0.0766168, 9.66808, 0.00426119, -0.00426119, -0.00745708, 0.00474536, -0.0108105, -0.25377, 0.967193
0.359983, 0.162811, 0.0383084, 9.74949, 0.00639178, -0, -0.0127836, 0.00474588, -0.0108102, -0.253724, 0.967205
0.365922, 0.186753, 0.0766168, 9.72554, 0.00426119, -0.00426119, -0.00639178, 0.0047464, -0.01081, -0.253677, 0.967217
0.377958, 0.191542, 0.0239427, 9.68245, 0.0010653, 0.00213059, -0.010653, 0.00474692, -0.0108098, -0.253631, 0.967229
0.38994, 0.186753, 0.0383084, 9.72076, 0.00213059, -0.00532648, -0.00852238, 0.0046889, -0.0108438, -0.253585, 0.967241
0.395956, 0.181965, 0.0574626, 9.73033, 0.00213059, 0.0010653, -0.00852238, 0.0046889, -0.0108438, -0.253585, 0.967241
0.407952, 0.143656, 0.0430969, 9.71118, 0.00213059, -0.0010653, -0.00852238, 0.00468942, -0.0108435, -0.253538, 0.967253
0.419958, 0.186753, 0.052674, 9.72076, 0.00852238, 0.00426119, -0.00745708, 0.0047021, -0.010797, -0.253492, 0.967266
0.425936, 0.153234, 0.0718282, 9.64414, 0.00426119, -0.00319589, -0.00958767, 0.00470262, -0.0107967, -0.253446, 0.967278
0.437959, 0.148445, 0.0574626, 9.69202, 0.00532648, 0.00213059, -0.00639178, 0.00470314, -0.0107965, -0.2534, 0.96729
0.449972, 0.172388, 0.0574626, 9.68724, 0.0010653, -0.0010653, -0.00639178, 0.00470365, -0.0107963, -0.253353, 0.967302
0.456074, 0.167599, 0.0718282, 9.70639, 0.00213059, 0.0010653, -0.00958767, 0.00470469, -0.0107958, -0.25326, 0.967326
0.467982, 0.162811, 0.0191542, 9.73512, 0.00639178, -0, -0.00639178, 0.00470469, -0.0107958, -0.25326, 0.967326
0.47991, 0.177176, 0.0430969, 9.67287, 0.0010653, -0.0010653, -0.010653, 0.00470572, -0.0107954, -0.253168, 0.967351
0.485942, 0.167599, 0.0335198, 9.7016, 0.00319589, 0.0010653, -0.00639178, 0.00465987, -0.010783, -0.253122, 0.967363
0.497973, 0.143656, 0.110137, 9.72554, 0.00639178, -0.00426119, -0.00745708, 0.00471838, -0.0107488, -0.253122, 0.967363
0.50995, 0.148445, 0.0574626, 9.67287, 0.00532648, 0.00213059, -0.00745708, 0.0047189, -0.0107486, -0.253075, 0.967375
0.515944, 0.172388, 0.0718282, 9.64414, 0.00852238, -0.00532648, -0.010653, 0.00470676, -0.0107949, -0.253075, 0.967375
0.527952, 0.134079, 0.0239427, 9.68245, 0.00532648, -0, -0.00958767, 0.0047189, -0.0107486, -0.253075, 0.967375
0.539945, 0.186753, 0.0670397, 9.67766, 0.00745708, -0.00426119, -0.0127836, 0.00470676, -0.0107949, -0.253075, 0.967375
0.545956, 0.162811, 0.0718282, 9.73512, 0.00532648, -0.00426119, -0.00958767, 0.00475365, -0.0108068, -0.253028, 0.967387
0.55796, 0.158022, 0.052674, 9.68724, 0, -0, -0.010653, 0.00475417, -0.0108066, -0.252982, 0.967399
0.569948, 0.177176, 0.0239427, 9.67287, 0.00745708, -0.00639178, -0.00852238, 0.00470779, -0.0107945, -0.252982, 0.967399
0.575957, 0.143656, 0.0478855, 9.67766, -0.0010653, 0.0010653, -0.00958767, 0.00470831, -0.0107942, -0.252936, 0.967411
0.587954, 0.181965, 0.0622511, 9.71597, 0.00532648, -0.00426119, -0.00852238, 0.0046967, -0.0108404, -0.252889, 0.967423
0.599947, 0.181965, 0.110137, 9.71118, 0.00639178, 0.0010653, -0.00745708, 0.00469722, -0.0108402, -0.252843, 0.967435
0.60598, 0.210696, 0.0430969, 9.65372, 0.00426119, 0.0010653, -0.00745708, 0.00469774, -0.0108399, -0.252796, 0.967447
0.617956, 0.172388, 0.0861939, 9.74949, 0.00639178, -0.0010653, -0.00958767, 0.00474412, -0.0108521, -0.252796, 0.967447
0.62995, 0.181965, 0.0383084, 9.76864, 0.00319589, -0, -0.010653, 0.00469774, -0.0108399, -0.252796, 0.967447
0.635978, 0.153234, 0.0574626, 9.7016, 0.00532648, -0.00213059, -0.00852238, 0.00469826, -0.0108397, -0.25275, 0.96746
0.647948, 0.191542, 0.0478855, 9.67287, 0.00958767, -0.00426119, -0.00852238, 0.00474516, -0.0108516, -0.252703, 0.967471
0.66001, 0.134079, 0.0814053, 9.66808, 0.00319589, -0, -0.010653, 0.00474516, -0.0108516, -0.252703, 0.967471
0.665973, 0.124502, 0.0383084, 9.73512, 0.00639178, -0, -0.00532648, 0.00474568, -0.0108514, -0.252657, 0.967484
0.677953, 0.143656, 0.10056, 9.68245, 0.00426119, -0.00319589, -0.00852238, 0.0047462, -0.0108512, -0.25261, 0.967496
0.689962, 0.167599, 0.0478855, 9.71597, 0.00319589, -0, -0.00852238, 0.00474724, -0.0108507, -0.252517, 0.96752
0.695936, 0.172388, 0.0478855, 9.72076, 0.010653, -0.00319589, -0.00532648, 0.00474776, -0.0108505, -0.252471, 0.967532
0.70794, 0.167599, 0.0814053, 9.67766, 0.00639178, -0.0010653, -0.00745708, 0.00479466, -0.0108623, -0.252424, 0.967544
0.719962, 0.167599, 0.0383084, 9.6585, 0.00426119, 0.00213059, -0.00852238, 0.00479518, -0.0108621, -0.252378, 0.967556
0.725967, 0.181965, 0.0718282, 9.73512, 0.00532648, -0.00213059, -0.00958767, 0.0047957, -0.0108619, -0.252331, 0.967568
0.737958, 0.138868, 0.0670397, 9.71118, 0.00319589, -0, -0.00958767, 0.00479622, -0.0108617, -0.252285, 0.96758
0.74997, 0.124502, 0.0095771, 9.74949, 0.0010653, -0, -0.00639178, 0.00479674, -0.0108614, -0.252239, 0.967592
0.755936, 0.201119, 0.0383084, 9.67287, 0.00639178, -0.0010653, -0.00745708, 0.00475088, -0.0108491, -0.252193, 0.967605
0.767952, 0.177176, 0.0718282, 9.69681, 0.0010653, -0.00213059, -0.0138489, 0.0047514, -0.0108489, -0.252146, 0.967617
0.77996, 0.172388, 0.0383084, 9.68724, 0.00532648, 0.00213059, -0.010653, 0.00475192, -0.0108486, -0.2521, 0.967629
0.785965, 0.162811, 0.0574626, 9.72554, 0.00745708, -0.0010653, -0.0127836, 0.00475244, -0.0108484, -0.252054, 0.967641
0.797958, 0.138868, 0.0574626, 9.63935, 0.00319589, -0.0010653, -0.00745708, 0.00475244, -0.0108484, -0.252054, 0.967641
0.809981, 0.167599, 0.0814053, 9.6585, 0, -0, -0.00958767, 0.00475296, -0.0108482, -0.252007, 0.967653
0.81596, 0.191542, 0.0239427, 9.84047, 0.0138489, -0, -0.0117183, 0.00475296, -0.0108482, -0.252007, 0.967653
0.827961, 0.143656, 0.0670397, 9.66329, 0.00213059, -0.00213059, -0.0117183, 0.00479935, -0.0108603, -0.252007, 0.967653
0.839963, 0.143656, 0.110137, 9.74949, 0, -0, -0.00958767, 0.00479987, -0.01086, -0.25196, 0.967665
0.845953, 0.158022, 0.0143656, 9.71597, 0.010653, -0, -0.010653, 0.00481247, -0.0108134, -0.251914, 0.967677
0.857952, 0.162811, 0.0909824, 9.6585, 0.00532648, -0.00426119, -0.00639178, 0.00480143, -0.0108594, -0.251821, 0.967701
