t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.181965, 0.0478855, 9.7016, 0.00639178, -0.0010653, -0.00639178, 0.00306728, -0.0118071, -0.195824, 0.980563
0.00596309, 0.201119, 0.0143656, 9.72076, 0.00532648, -0.0010653, -0.00745708, 0.00306728, -0.0118071, -0.195824, 0.980563
0.0179954, 0.153234, -0.0383084, 9.72554, 0.00852238, -0, -0.00639178, 0.00307723, -0.01176, -0.195777, 0.980573
0.0299559, 0.205908, 0.0383084, 9.69202, 0.00639178, -0, -0.00639178, 0.00312424, -0.0117694, -0.195776, 0.980573
0.0359454, 0.205908, -0, 9.70639, 0.00426119, -0.00213059, -0.00958767, 0.00311542, -0.0118162, -0.195729, 0.980582
0.0479631, 0.181965, -0.0095771, 9.62977, 0.00426119, -0, -0.00745708, 0.0030778, -0.0117598, -0.19573, 0.980582
0.0599663, 0.22985, 0.00478855, 9.66329, 0.00426119, -0.00319589, -0.0117183, 0.00306897, -0.0118067, -0.195683, 0.980591
0.0659604, 0.148445, -0.0191542, 9.67287, 0.00426119, -0.00213059, -0.00852238, 0.00306841, -0.0118068, -0.19573, 0.980582
0.0780013, 0.162811, -0.0335198, 9.69202, 0.00532648, -0.00426119, -0.00852238, 0.00306897, -0.0118067, -0.195683, 0.980591
0.0899963, 0.186753, 0.0430969, 9.69202, 0.00639178, -0, -0.010653, 0.00306897, -0.0118067, -0.195683, 0.980591
0.0960732, 0.129291, -0.0191542, 9.66808, 0.00532648, -0.00213059, -0.00852238, 0.00307836, -0.0117597, -0.195683, 0.980592
0.107974, 0.220273, -0.0143656, 9.72076, 0.00532648, -0.0010653, -0.00958767, 0.00307836, -0.0117597, -0.195683, 0.980592
0.119973, 0.158022, 0.00478855, 9.69681, 0.00426119, -0, -0.00639178, 0.00307836, -0.0117597, -0.195683, 0.980592
0.125967, 0.181965, -0.00478855, 9.71597, 0.00213059, -0.00213059, -0.00639178, 0.00303135, -0.0117503, -0.195683, 0.980592
0.137999, 0.196331, -0.0143656, 9.64893, 0.00426119, -0.00213059, -0.00745708, 0.00303192, -0.0117502, -0.195636, 0.980601
0.149968, 0.225062, 0.0670397, 9.68724, 0.00213059, -0.00213059, -0.00852238, 0.00302253, -0.0117972, -0.195636, 0.980601
0.155963, 0.181965, -0, 9.71118, 0.00426119, 0.0010653, -0.00852238, 0.00302253, -0.0117972, -0.195636, 0.980601
0.167966, 0.114925, -0.00478855, 9.72076, 0.00532648, -0.00319589, -0.00958767, 0.00303192, -0.0117502, -0.195636, 0.980601
0.179953, 0.191542, 0.0143656, 9.73991, 0.00639178, -0, -0.0117183, 0.00303192, -0.0117502, -0.195636, 0.980601
0.185957, 0.172388, -0.0095771, 9.67766, 0.00319589, -0.00319589, -0.00639178, 0.00303192, -0.0117502, -0.195636, 0.980601
0.197989, 0.191542, 0.0383084, 9.73991, 0.00426119, -0.00532648, -0.00852238, 0.00303135, -0.0117503, -0.195683, 0.980592
0.209989, 0.158022, 0.0239427, 9.64414, 0.00639178, 0.0010653, -0.00852238, 0.00303248, -0.01175, -0.195589, 0.980611
0.215964, 0.186753, 0.0191542, 9.68245, 0.00426119, -0.0010653, -0.00852238, 0.00303192, -0.0117502, -0.195636, 0.980601
0.227962, 0.177176, -0, 9.7447, 0.0010653, -0, -0.00852238, 0.00303192, -0.0117502, -0.195636, 0.980601
0.239993, 0.181965, 0.0191542, 9.70639, 0.00426119, -0.00213059, -0.00852238, 0.00303135, -0.0117503, -0.195683, 0.980592
0.245958, 0.148445, -0, 9.69202, 0.0010653, -0, -0.010653, 0.00298435, -0.0117409, -0.195684, 0.980592
0.257964, 0.172388, 0.0095771, 9.63935, 0.00426119, -0.00426119, -0.00958767, 0.00299317, -0.0116941, -0.195731, 0.980583
0.269973, 0.167599, -0.0143656, 9.69681, 0.00426119, 0.00213059, -0.00532648, 0.00299317, -0.0116941, -0.195731, 0.980583
0.275945, 0.153234, 0.00478855, 9.69681, 0.00319589, -0, -0.010653, 0.00299373, -0.0116939, -0.195684, 0.980593
0.287947, 0.186753, -0.0095771, 9.69681, 0.00532648, 0.00213059, -0.010653, 0.00300256, -0.0116471, -0.195732, 0.980584
0.299967, 0.191542, -0.00478855, 9.70639, 0.00532648, -0, -0.00852238, 0.00300256, -0.0116471, -0.195732, 0.980584
0.305988, 0.162811, 0.0287313, 9.71597, 0.00532648, -0, -0.010653, 0.00300256, -0.0116471, -0.195732, 0.980584
0.317969, 0.205908, 0.0143656, 9.74949, 0.00532648, -0.00213059, -0.00639178, 0.00300312, -0.0116469, -0.195685, 0.980593
0.329954, 0.181965, 0.00478855, 9.70639, 0.00319589, 0.0010653, -0.00852238, 0.00300312, -0.0116469, -0.195685, 0.980593
0.335971, 0.181965, -0, 9.63935, 0.0117183, -0.00213059, -0.00852238, 0.00300256, -0.0116471, -0.195732, 0.980584
0.347967, 0.167599, -0.0191542, 9.66329, 0.00319589, -0.00213059, -0.00745708, 0.00300256, -0.0116471, -0.195732, 0.980584
0.359963, 0.205908, 0.0143656, 9.7447, 0.00958767, -0, -0.00852238, 0.003002, -0.0116472, -0.195779, 0.980574
0.36595, 0.181965, -0, 9.70639, 0.00319589, -0.0010653, -0.00639178, 0.00300256, -0.0116471, -0.195732, 0.980584
0.377979, 0.239427, -0, 9.67287, 0.00532648, -0, -0.00852238, 0.00300256, -0.0116471, -0.195732, 0.980584
0.389953, 0.215485, -0.0143656, 9.72554, 0.00319589, -0.00426119, -0.00852238, 0.00300256, -0.0116471, -0.195732, 0.980584
0.39595, 0.162811, -0.00478855, 9.70639, 0, 0.00426119, -0.010653, 0.00300256, -0.0116471, -0.195732, 0.980584
0.407974, 0.186753, -0.0239427, 9.67287, 0.00532648, -0.0010653, -0.00958767, 0.00295555, -0.0116377, -0.195732, 0.980584
0.419982, 0.181965, -0.00478855, 9.67766, 0.00426119, -0, -0.00213059, 0.00295555, -0.0116377, -0.195732, 0.980584
0.42596, 0.205908, -0.0095771, 9.67287, 0.00532648, -0.00213059, -0.00745708, 0.00295611, -0.0116375, -0.195685, 0.980593
0.437974, 0.162811, 0.0095771, 9.67287, 0.00319589, 0.0010653, -0.00958767, 0.00295667, -0.0116374, -0.195638, 0.980603
0.449966, 0.177176, -0.0383084, 9.68724, 0.00426119, -0, -0.010653, 0.00291904, -0.011581, -0.195639, 0.980603
0.455961, 0.158022, 0.0430969, 9.68724, 0.00532648, -0.00426119, -0.00639178, 0.00296605, -0.0115904, -0.195639, 0.980603
0.467962, 0.201119, 0.0239427, 9.64414, 0.00426119, 0.00319589, -0.00958767, 0.00296605, -0.0115904, -0.195639, 0.980603
0.479979, 0.22985, -0.0143656, 9.71118, 0.00639178, -0.00319589, -0.00958767, 0.00296661, -0.0115902, -0.195592, 0.980612
0.485958, 0.177176, 0.0191542, 9.61541, 0.00213059, 0.00213059, -0.00958767, 0.00296605, -0.0115904, -0.195639, 0.980603
0.498003, 0.22985, 0.0287313, 9.74949, 0.00639178, 0.0010653, -0.00852238, 0.00296605, -0.0115904, -0.195639, 0.980603
0.509995, 0.143656, 0.0383084, 9.71597, 0.00319589, -0.0010653, -0.00852238, 0.00296605, -0.0115904, -0.195639, 0.980603
0.51597, 0.201119, -0.0478855, 9.62498, 0.00319589, -0, -0.00745708, 0.00291904, -0.011581, -0.195639, 0.980603
0.527962, 0.167599, -0.0191542, 9.73991, 0.00426119, -0.00319589, -0.0127836, 0.00292843, -0.011534, -0.19564, 0.980604
0.539986, 0.205908, -0, 9.71118, 0.00532648, 0.00213059, -0.00852238, 0.00292843, -0.011534, -0.19564, 0.980604
0.54597, 0.167599, -0.0239427, 9.71597, 0.00745708, -0, -0.010653, 0.00292843, -0.011534, -0.19564, 0.980604
0.557988, 0.22985, -0.0143656, 9.66329, 0.00532648, -0.00319589, -0.00745708, 0.00292843, -0.011534, -0.19564, 0.980604
0.56996, 0.158022, -0, 9.64414, 0.00213059, -0.0010653, -0.010653, 0.00292898, -0.0115339, -0.195593, 0.980613
0.575953, 0.196331, -0.00478855, 9.70639, 0.00426119, -0.0010653, -0.0117183, 0.00292843, -0.011534, -0.19564, 0.980604
0.58796, 0.158022, 0.00478855, 9.68245, 0.00532648, -0.0010653, -0.00958767, 0.00292843, -0.011534, -0.19564, 0.980604
0.599968, 0.196331, -0, 9.67766, 0.00213059, -0.00319589, -0.00958767, 0.00288142, -0.0115246, -0.19564, 0.980604
0.605951, 0.177176, -0.0095771, 9.7447, 0.00852238, -0, -0.00639178, 0.00288142, -0.0115246, -0.19564, 0.980604
0.617984, 0.201119, 0.0191542, 9.61062, 0.00213059, -0.00213059, -0.0117183, 0.00288142, -0.0115246, -0.19564, 0.980604
0.629949, 0.172388, 0.0095771, 9.60583, 0.0010653, 0.00213059, -0.00745708, 0.00288142, -0.0115246, -0.19564, 0.980604
0.635954, 0.181965, -0, 9.7016, 0.00426119, -0.0010653, -0.00745708, 0.00288197, -0.0115245, -0.195593, 0.980613
0.647964, 0.205908, 0.0478855, 9.65372, 0, -0.00213059, -0.00958767, 0.00288142, -0.0115246, -0.19564, 0.980604
0.659983, 0.220273, 0.0287313, 9.68245, 0.00532648, -0, -0.010653, 0.00288197, -0.0115245, -0.195593, 0.980613
0.66597, 0.196331, 0.0095771, 9.72554, 0.010653, -0.00213059, -0.00852238, 0.00288197, -0.0115245, -0.195593, 0.980613
0.677952, 0.153234, 0.0335198, 9.73033, -0.0010653, 0.0010653, -0.010653, 0.00288142, -0.0115246, -0.19564, 0.980604
0.689982, 0.201119, -0.0095771, 9.76385, 0.00319589, -0, -0.00639178, 0.00288197, -0.0115245, -0.195593, 0.980613
0.695969, 0.225062, -0, 9.69202, 0.00852238, -0.00319589, -0.00958767, 0.00288197, -0.0115245, -0.195593, 0.980613
0.707971, 0.186753, 0.0239427, 9.6585, 0, -0.00319589, -0.00958767, 0.00287259, -0.0115715, -0.195593, 0.980613
0.719915, 0.172388, 0.00478855, 9.7447, 0.00532648, 0.00213059, -0.0127836, 0.00288197, -0.0115245, -0.195593, 0.980613
