t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0.389979, 0.0814053, 0.124502, 9.68245, 0.00745708, -0.0010653, -0.00958767, 0.00784186, 0.00612119, 0.929554, 0.368553
0.401973, 0.0335198, 0.095771, 9.62498, 0.00319589, 0.0010653, -0.0117183, 0.00784567, 0.0061163, 0.929324, 0.369132
0.408057, 0.129291, 0.10056, 9.72076, 0.00532648, -0.00213059, -0.00745708, 0.00784919, 0.00611179, 0.929111, 0.369667
0.419988, 0.0478855, 0.0861939, 9.65372, 0.00852238, -0.00319589, -0.00958767, 0.0078527, 0.00610727, 0.928898, 0.370201
0.431981, 0.105348, 0.0718282, 9.67287, -0.00213059, -0, -0.00745708, 0.00790073, 0.00608498, 0.928685, 0.370735
0.43804, 0.10056, 0.0861939, 9.77343, 0.00639178, -0.00319589, -0.00852238, 0.00790394, 0.00608081, 0.92849, 0.371224
0.449982, 0.0814053, 0.124502, 9.6585, 0.00639178, -0.00639178, -0.00958767, 0.00790743, 0.00607626, 0.928276, 0.371759
0.461967, 0.0383084, 0.105348, 9.7447, 0, -0.0010653, -0.00532648, 0.00791093, 0.00607171, 0.928062, 0.372292
0.467987, 0.105348, 0.0574626, 9.76385, 0.00639178, -0.0010653, -0.00745708, 0.00795861, 0.00604966, 0.927865, 0.372781
0.479986, 0.0814053, 0.0718282, 9.73033, 0.00639178, -0.00213059, -0.00958767, 0.00796209, 0.00604508, 0.927651, 0.373315
0.492048, 0.138868, 0.095771, 9.65372, 0.0010653, -0, -0.00745708, 0.00796585, 0.00604012, 0.927418, 0.373893
0.498011, 0.0622511, 0.0766168, 9.70639, 0.00958767, 0.0010653, -0.00958767, 0.00796933, 0.00603554, 0.927203, 0.374427
0.510013, 0.0814053, 0.0574626, 9.67287, 0.00426119, -0.00319589, -0.00852238, 0.0079728, 0.00603095, 0.926987, 0.37496
0.521996, 0.0909824, 0.0478855, 9.67766, 0, -0.0010653, -0.00745708, 0.00795826, 0.00598194, 0.926772, 0.375493
