time, velFL, velFR, velBL, velBR
0, 0, 0, 0, 0
0.0200171, 0, 0, 0, 0
0.039994, 0, 0, 0, 0
0.0600071, 0, 0, 0, 0
0.0800412, 0, 0, 0, 0
0.100045, 0, 0, 0, 0
0.120004, 0, 0, 0, 0
0.140007, 0, 0, 0, 0
0.15999, 0, 0, 0, 0
0.180037, 0, 0, 0, 0
0.200003, 0, 0, 0, 0
0.22, 0, 0, 0, 0
0.240008, 0, 0, 0, 0
0.260005, 0, 0, 0, 0
0.28001, 0, 0, 0, 0
0.299999, 0, 0, 0, 0
0.319999, 0, 0, 0, 0
0.339969, 0, 0, 0, 0
0.36, 0, 0, 0, 0
0.380003, 0, 0, 0, 0
0.4, 0, 0, 0, 0
0.420002, 0, 0, 0, 0
0.440014, 0, 0, 0, 0
0.459994, 0, 0, 0, 0
0.480051, 0, 0, 0, 0
0.500055, 0, 0, 0, 0
0.520015, 0, 0, 0, 0
0.540002, 0, 0, 0, 0
0.56, 0, 0, 0, 0
0.580002, 0, 0, 0, 0
0.600065, 0, 0, 0, 0
0.620016, 0, 0, 0, 0
0.640019, 0, 0, 0, 0
0.660004, 0, 0, 0, 0
0.679994, 0, 0, 0, 0
0.700071, 0, 0, 0, 0
0.720026, 0, 0, 0, 0
0.740031, 0, 0, 0, 0
0.760007, 0, 0, 0, 0
0.78, 0, 0, 0, 0
0.799997, 0, 0, 0, 0
0.820003, 0, 0, 0, 0
0.840015, 0, 0, 0, 0
0.860002, 0, 0, 0, 0
0.88004, 0, 0, 0, 0
0.900012, 0, 0, 0, 0
0.919994, 0, 0, 0, 0
0.940166, 0, 0, 0, 0
0.960021, 0, 0, 0, 0
0.979993, 0, 0, 0, 0
1, 0, 0, 0, 0
1.02001, 0, 0, 0, 0
1.04006, 0, 0, 0, 0
1.06011, 0, 0, 0, 0
1.08011, 0, 0, 0, 0
1.10007, 0, 0, 0, 0
1.12002, 0, 0, 0, 0
1.14, 0, 0, 0, 0
1.16004, 0, 0, 0, 0
1.18001, 0, 0, 0, 0
1.20005, 0, 0, 0, 0
1.22001, 0, 0, 0, 0
1.24006, 0, 0, 0, 0
1.26002, 0, 0, 0, 0
1.28002, 0, 0, 0, 0
1.3, 0, 0, 0, 0
1.31998, 0, 0, 0, 0
1.34001, 0, 0, 0, 0
1.35999, 0, 0, 0, 0
1.38, 0, 0, 0, 0
1.4, 0, 0, 0, 0
1.42, 0, 0, 0, 0
1.44003, 0, 0, 0, 0
1.45999, 0, 0, 0, 0
1.47997, 0, 0, 0, 0
1.50002, 0, 0, 0, 0
1.52002, 0, 0, 0, 0
1.54, 0, 0, 0, 0
1.56003, 0, 0, 0, 0
1.58002, 0, 0, 0, 0
1.6, 0, 0, 0, 0
1.62002, 0, 0, 0, 0
1.64001, 0, 0, 0, 0
1.66001, 0, 0, 0, 0
1.68001, 0, 0, 0, 0
1.69999, 0, 0, 0, 0
1.72, 0, 0, 0, 0
1.73999, 0, 0, 0, 0
1.76, 0, 0, 0, 0
1.78, 0, 0, 0, 0
1.80002, 0, 0, 0, 0
1.82, 0, 0, 0, 0
1.84, 0, 0, 0, 0
1.86, 0, 0, 0, 0
1.88002, 0, 0, 0, 0
1.90006, 0, 0, 0, 0
1.92006, 0, 0, 0, 0
1.94, 0, 0, 0, 0
1.96002, 0, 0, 0, 0
1.98001, 0, 0, 0, 0
2.00001, 0, 0, 0, 0
2.02, 0, 0, 0, 0
2.04002, 0, 0, 0, 0
2.06, 0, 0, 0, 0
2.08006, 0, 0, 0, 0
2.10009, 0, 0, 0, 0
2.12005, 0, 0, 0, 0
2.14002, 0, 0, 0, 0
2.16001, 0, 0, 0, 0
2.18, 0, 0, 0, 0
2.20002, 0, 0, 0, 0
2.22, 0, 0, 0, 0
2.24002, 0, 0, 0, 0
2.25999, 0, 0, 0, 0
2.27999, 0, 0, 0, 0
2.30002, 0, 0, 0, 0
2.32002, 0, 0, 0, 0
2.33999, 0, 0, 0, 0
2.36002, 0, 0, 0, 0
2.38005, 0, 0, 0, 0
2.4, 0, 0, 0, 0
2.42001, 0, 0, 0, 0
2.44, 0, 0, 0, 0
2.45999, 0, 0, 0, 0
2.48, 0, 0, 0, 0
2.50001, 0, 0, 0, 0
2.52001, 0, 0, 0, 0
2.54, 0, 0, 0, 0
2.56003, 0, 0, 0, 0
2.58015, 0, 0, 0, 0
2.60013, 0, 0, 0, 0
2.62009, 0, 0, 0, 0
2.64006, 0, 0, 0, 0
2.65999, 0, 0, 0, 0
2.68, 0, 0, 0, 0
2.70001, 0, 0, 0, 0
2.72, 0, 0, 0, 0
2.73999, 0, 0, 0, 0
2.75999, 0, 0, 0, 0
2.77999, 0, 0, 0, 0
2.8, 0, 0, 0, 0
2.82, 0, 0, 0, 0
2.83999, 0, 0, 0, 0
2.86002, 0, 0, 0, 0
2.88, 0, 0, 0, 0
2.90003, 0, 0, 0, 0
2.92003, 0, 0, 0, 0
2.94001, 0, 0, 0, 0
2.96001, 0, 0, 0, 0
2.97997, 0, 0, 0, 0
3, 0, 0, 0, 0
3.01997, 0, 0, 0, 0
3.04, 0, 0, 0, 0
3.06, 0, 0, 0, 0
3.08003, 0, 0, 0, 0
3.10006, 0, 0, 0, 0
3.12004, 0, 0, 0, 0
3.13999, 0, 0, 0, 0
3.16, 0, 0, 0, 0
3.17999, 0, 0, 0, 0
3.20004, 0, 0, 0, 0
3.21999, 0, 0, 0, 0
3.24, 0, 0, 0, 0
3.26002, 0, 0, 0, 0
3.28, 0, 0, 0, 0
3.29999, 0, 0, 0, 0
3.32001, 0, 0, 0, 0.233074
3.34, 0, 0, 0, 0.233074
3.36004, 0, 0, 0, 0.233074
3.38002, 0, 0, 0, 0.233074
3.40004, 0, 0, 0, 0.233074
3.42001, 0, 0, 0, 0.233074
3.44, 0, 0, 0, 0.233074
3.46002, 0, 0, 0, 0.233074
3.47998, 0, 0, 0, 0.233074
3.5, 0, 0, 0, 0.233074
3.52, 0, 0, 0, 0.233074
3.54, 0, 0, 0, 0.233074
3.56003, 0, 0, 0, 0
3.58, 0, 0, 0, 0
3.6, 0, 0, 0, 0
3.62, 0, 0, 0, 0
3.63999, 0, 0, 0, 0
3.66, 0, 0, 0, 0
3.67999, 0, 0, 0, 0
3.7, 0, 0, 0, 0
3.72, 0, 0, 0, 0
3.74, 0, 0, 0, 0
3.76, 0, 0, 0, 0
3.77997, 0, 0, 0, 0
3.8, 0, 0, 0, 0
3.82, 0, 0.233175, 0, 0
3.83999, 0, 0.233175, 0, 0
3.86005, 0, 0.233175, 0, 0
3.88001, 0, 0.233175, 0, 0
3.89999, 0, 0.233175, 0, 0
3.92002, 0, 0.233175, 0, 0
3.94004, 0, 0.233175, 0, 0
3.96, 0, 0.233175, 0, 0
3.97994, 0, 0.233175, 0, 0
4.00001, 0, 0.233175, 0, 0
4.01999, 0, 0.233175, 0, 0
4.04001, 0, 0.233175, 0, 0
4.06, 0, 0.233175, 0, 0
4.08007, 0.46629, 0.233145, 0.46629, 0.46629
4.10009, 0.46629, 0.233145, 0.46629, 0.46629
4.12005, 0.46629, 0.233145, 0.46629, 0.46629
4.14001, 0.46629, 0.233145, 0.46629, 0.46629
4.15999, 0.46629, 0.233145, 0.46629, 0.46629
4.18, 0.46629, 0.233145, 0.46629, 0.46629
4.2, 0.46629, 0.233145, 0.46629, 0.46629
4.22, 0.46629, 0.233145, 0.46629, 0.46629
4.24003, 0.46629, 0.233145, 0.46629, 0.46629
4.26002, 0.46629, 0.233145, 0.46629, 0.46629
4.28001, 0.46629, 0.233145, 0.46629, 0.46629
4.3, 0.46629, 0.233145, 0.46629, 0.46629
4.31999, 0.46629, 0.233145, 0.46629, 0.46629
4.33999, 0, 0.466507, 0, 0.233253
4.36, 0, 0.466507, 0, 0.233253
4.38004, 0, 0.466507, 0, 0.233253
4.40001, 0, 0.466507, 0, 0.233253
4.41996, 0, 0.466507, 0, 0.233253
4.44001, 0, 0.466507, 0, 0.233253
4.46001, 0, 0.466507, 0, 0.233253
4.47999, 0, 0.466507, 0, 0.233253
4.50002, 0, 0.466507, 0, 0.233253
4.52, 0, 0.466507, 0, 0.233253
4.54001, 0, 0.466507, 0, 0.233253
4.56, 0, 0.466507, 0, 0.233253
4.57999, 0, 0.466507, 0, 0.233253
4.60003, 0.466113, 0.466113, 0, 0.233057
4.62004, 0.466113, 0.466113, 0, 0.233057
4.64, 0.466113, 0.466113, 0, 0.233057
4.66002, 0.466113, 0.466113, 0, 0.233057
4.67999, 0.466113, 0.466113, 0, 0.233057
4.69999, 0.466113, 0.466113, 0, 0.233057
4.71999, 0.466113, 0.466113, 0, 0.233057
4.74, 0.466113, 0.466113, 0, 0.233057
4.76001, 0.466113, 0.466113, 0, 0.233057
4.78002, 0.466113, 0.466113, 0, 0.233057
4.80001, 0.466113, 0.466113, 0, 0.233057
4.81999, 0.466113, 0.466113, 0, 0.233057
4.84004, 0.466576, 0.233288, 0.233288, 0.466576
4.86001, 0.466576, 0.233288, 0.233288, 0.466576
4.88001, 0.466576, 0.233288, 0.233288, 0.466576
4.90001, 0.466576, 0.233288, 0.233288, 0.466576
4.92001, 0.466576, 0.233288, 0.233288, 0.466576
