t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.225062, -0.0143656, 9.7016, 0.00639178, -0, -0.00852238, 0.0023076, -0.0125024, -0.178735, 0.983815
0.0119939, 0.205908, 0.0143656, 9.73033, 0.00745708, -0.0010653, -0.00852238, 0.00235417, -0.0125111, -0.178782, 0.983806
0.0180106, 0.215485, -0, 9.66329, 0.00426119, -0.00319589, -0.00639178, 0.00235417, -0.0125111, -0.178782, 0.983806
0.0299869, 0.225062, 0.0143656, 9.69681, 0.00319589, 0.0010653, -0.00745708, 0.00235417, -0.0125111, -0.178782, 0.983806
0.0419803, 0.215485, -0.0095771, 9.70639, 0.00426119, -0.0010653, -0.0117183, 0.00235417, -0.0125111, -0.178782, 0.983806
0.0479677, 0.196331, -0.0191542, 9.72554, 0.00213059, -0, -0.010653, 0.00235357, -0.0125112, -0.178829, 0.983798
0.0599871, 0.201119, -0.0143656, 9.7447, 0.00213059, -0, -0.010653, 0.00230641, -0.0125026, -0.178829, 0.983798
0.0720053, 0.186753, -0, 9.68724, 0.00426119, -0, -0.00958767, 0.00231498, -0.0124555, -0.17883, 0.983798
0.0779679, 0.244216, 0.0239427, 9.73991, 0.00319589, -0.0010653, -0.00532648, 0.00230641, -0.0125026, -0.178829, 0.983798
0.0899758, 0.220273, -0.0143656, 9.71597, 0.00426119, -0, -0.0117183, 0.00230641, -0.0125026, -0.178829, 0.983798
0.101966, 0.181965, 0.0335198, 9.68724, 0.00745708, -0.00319589, -0.00852238, 0.00231498, -0.0124555, -0.17883, 0.983798
0.107968, 0.244216, -0, 9.69681, 0.00426119, -0, -0.00852238, 0.00230641, -0.0125026, -0.178829, 0.983798
0.119972, 0.191542, -0.0095771, 9.74949, 0.00426119, -0.0010653, -0.00639178, 0.00230581, -0.0125027, -0.178876, 0.983789
0.131978, 0.205908, -0.0239427, 9.71118, 0.00639178, -0.0010653, -0.0127836, 0.00230581, -0.0125027, -0.178876, 0.983789
0.137994, 0.253793, -0, 9.67766, 0.00426119, -0.0010653, -0.00958767, 0.00230581, -0.0125027, -0.178876, 0.983789
0.149973, 0.234639, -0.0383084, 9.67287, 0.00319589, 0.0010653, -0.00745708, 0.00230581, -0.0125027, -0.178876, 0.983789
0.161989, 0.205908, -0.0191542, 9.74949, 0.00426119, -0.0010653, -0.00852238, 0.00230581, -0.0125027, -0.178876, 0.983789
0.167969, 0.210696, -0.0287313, 9.76385, 0.00639178, -0, -0.00852238, 0.00230581, -0.0125027, -0.178876, 0.983789
0.179972, 0.225062, -0.0095771, 9.66329, 0.00319589, -0.0010653, -0.00639178, 0.00230581, -0.0125027, -0.178876, 0.983789
0.191974, 0.158022, -0, 9.69202, 0.00319589, -0.00213059, -0.00958767, 0.00226723, -0.012447, -0.178877, 0.98379
0.197958, 0.210696, -0.00478855, 9.67287, 0.00426119, -0, -0.00745708, 0.00226663, -0.0124471, -0.178925, 0.983781
0.209968, 0.177176, -0, 9.73033, 0.00532648, -0.00319589, -0.010653, 0.00226663, -0.0124471, -0.178925, 0.983781
0.222011, 0.205908, -0.0143656, 9.67287, 0.00426119, 0.0010653, -0.00958767, 0.00226663, -0.0124471, -0.178925, 0.983781
0.227989, 0.196331, -0, 9.69202, 0.0010653, -0.00213059, -0.00852238, 0.00226603, -0.0124472, -0.178972, 0.983773
0.239986, 0.22985, 0.0095771, 9.66808, 0, 0.0010653, -0.00532648, 0.00226603, -0.0124472, -0.178972, 0.983773
0.251981, 0.239427, -0, 9.74949, 0.00639178, -0, -0.00852238, 0.00226663, -0.0124471, -0.178925, 0.983781
0.257946, 0.201119, 0.0335198, 9.73991, 0.00532648, -0, -0.010653, 0.00226603, -0.0124472, -0.178972, 0.983773
0.269991, 0.205908, -0, 9.70639, 0.00532648, -0, -0.00852238, 0.00226603, -0.0124472, -0.178972, 0.983773
0.282044, 0.201119, -0.00478855, 9.7447, 0, -0.00319589, -0.0117183, 0.00226603, -0.0124472, -0.178972, 0.983773
0.287974, 0.215485, -0, 9.66808, 0.00852238, -0.0010653, -0.00958767, 0.00226603, -0.0124472, -0.178972, 0.983773
0.3, 0.215485, -0.0143656, 9.67287, 0.00319589, -0, -0.010653, 0.00226603, -0.0124472, -0.178972, 0.983773
0.311971, 0.249005, -0.0095771, 9.71597, 0.0010653, -0.00213059, -0.00852238, 0.00221887, -0.0124386, -0.178972, 0.983773
0.317958, 0.201119, -0.00478855, 9.72076, 0.00213059, -0, -0.00745708, 0.00221947, -0.0124385, -0.178925, 0.983782
0.32997, 0.201119, 0.0143656, 9.7447, 0.00639178, -0.00319589, -0.00639178, 0.00221947, -0.0124385, -0.178925, 0.983782
0.341998, 0.205908, -0.00478855, 9.68724, 0.00639178, 0.00319589, -0.00639178, 0.00222006, -0.0124384, -0.178878, 0.98379
0.347974, 0.196331, 0.0287313, 9.73033, 0.00639178, -0, -0.00958767, 0.00226723, -0.012447, -0.178877, 0.98379
0.359955, 0.191542, 0.0095771, 9.64414, 0.00426119, -0.00319589, -0.00745708, 0.00226663, -0.0124471, -0.178925, 0.983781
0.371974, 0.215485, -0, 9.69681, 0.00426119, -0, -0.00745708, 0.00226723, -0.012447, -0.178877, 0.98379
0.377969, 0.234639, 0.0143656, 9.69202, 0.0010653, -0.00319589, -0.00745708, 0.00226782, -0.0124469, -0.17883, 0.983799
0.389982, 0.177176, -0, 9.69681, 0.0010653, -0, -0.00852238, 0.00222066, -0.0124383, -0.178831, 0.983799
0.401978, 0.196331, -0.0239427, 9.70639, 0.00319589, 0.0010653, -0.00852238, 0.00222066, -0.0124383, -0.178831, 0.983799
0.407957, 0.258582, -0, 9.67287, 0.00426119, 0.00213059, -0.00745708, 0.00222126, -0.0124382, -0.178784, 0.983807
0.419958, 0.210696, -0.0191542, 9.66808, 0.00319589, -0, -0.0127836, 0.00222983, -0.012391, -0.178784, 0.983808
0.431968, 0.249005, -0, 9.74949, 0.00532648, -0.00213059, -0.00958767, 0.00222126, -0.0124382, -0.178784, 0.983807
0.438016, 0.210696, -0.0143656, 9.68245, 0.00639178, -0.00213059, -0.00745708, 0.00222066, -0.0124383, -0.178831, 0.983799
0.450004, 0.205908, 0.00478855, 9.71597, 0.00319589, -0.00426119, -0.00852238, 0.00222126, -0.0124382, -0.178784, 0.983807
0.462001, 0.220273, 0.0191542, 9.7016, 0.00852238, -0.00319589, -0.00958767, 0.00222066, -0.0124383, -0.178831, 0.983799
0.467957, 0.225062, 0.0239427, 9.7016, 0.00532648, -0, -0.00852238, 0.00225984, -0.0124939, -0.178783, 0.983807
0.48002, 0.201119, 0.0383084, 9.69202, 0.00639178, -0.00319589, -0.00852238, 0.00225984, -0.0124939, -0.178783, 0.983807
0.491977, 0.186753, 0.0191542, 9.73512, 0.00639178, -0, -0.00852238, 0.00226902, -0.0124467, -0.178736, 0.983816
0.498034, 0.268159, 0.0335198, 9.73512, 0.00426119, -0, -0.00958767, 0.0023076, -0.0125024, -0.178735, 0.983815
0.509984, 0.234639, 0.0287313, 9.72076, 0.00958767, -0.0010653, -0.00639178, 0.0023076, -0.0125024, -0.178735, 0.983815
0.521969, 0.220273, -0.00478855, 9.69202, 0.00319589, -0, -0.0117183, 0.0023076, -0.0125024, -0.178735, 0.983815
0.52801, 0.196331, -0.00478855, 9.68245, 0.00426119, -0, -0.00639178, 0.0023076, -0.0125024, -0.178735, 0.983815
0.53999, 0.244216, -0, 9.72554, 0.00426119, -0, -0.010653, 0.0023076, -0.0125024, -0.178735, 0.983815
0.552, 0.249005, 0.0239427, 9.72076, 0.00426119, -0, -0.010653, 0.002307, -0.0125025, -0.178782, 0.983807
0.557981, 0.205908, -0.0191542, 9.69681, 0.00426119, -0.0010653, -0.0117183, 0.0023076, -0.0125024, -0.178735, 0.983815
0.570044, 0.253793, 0.0095771, 9.71118, 0.00319589, 0.0010653, -0.00852238, 0.002307, -0.0125025, -0.178782, 0.983807
0.582001, 0.253793, -0.0191542, 9.69202, 0.00532648, -0.00213059, -0.010653, 0.00230641, -0.0125026, -0.178829, 0.983798
0.587976, 0.186753, 0.0143656, 9.71118, 0.00213059, -0, -0.0117183, 0.00230641, -0.0125026, -0.178829, 0.983798
0.599986, 0.258582, -0.0430969, 9.72076, 0.00532648, 0.0010653, -0.010653, 0.00230641, -0.0125026, -0.178829, 0.983798
0.611846, 0.234639, 0.0095771, 9.71118, 0.00639178, -0, -0.00745708, 0.00230641, -0.0125026, -0.178829, 0.983798
0.617959, 0.220273, -0.00478855, 9.74949, 0.0010653, -0, -0.00745708, 0.00230641, -0.0125026, -0.178829, 0.983798
0.629982, 0.210696, 0.0287313, 9.64893, 0.00639178, -0.0010653, -0.00958767, 0.00230641, -0.0125026, -0.178829, 0.983798
0.642015, 0.210696, -0.00478855, 9.60104, 0.00639178, -0.00213059, -0.00852238, 0.00230581, -0.0125027, -0.178876, 0.983789
0.647983, 0.191542, -0, 9.69202, 0.00639178, -0, -0.00745708, 0.00230581, -0.0125027, -0.178876, 0.983789
0.659979, 0.234639, 0.0191542, 9.71597, 0.00426119, -0.00213059, -0.00958767, 0.00230581, -0.0125027, -0.178876, 0.983789
0.671985, 0.253793, -0.0143656, 9.66329, 0.00213059, -0, -0.00639178, 0.00230641, -0.0125026, -0.178829, 0.983798
0.677977, 0.26337, 0.0287313, 9.67766, 0.0010653, 0.0010653, -0.0117183, 0.00230581, -0.0125027, -0.178876, 0.983789
0.690315, 0.201119, -0.00478855, 9.69681, 0.00532648, -0.00213059, -0.00426119, 0.00230641, -0.0125026, -0.178829, 0.983798
0.701998, 0.191542, -0.0335198, 9.67287, 0.00745708, -0.0010653, -0.00958767, 0.002307, -0.0125025, -0.178782, 0.983807
0.707973, 0.220273, 0.0143656, 9.71597, 0.00426119, -0, -0.0117183, 0.00230641, -0.0125026, -0.178829, 0.983798
0.720009, 0.258582, 0.0239427, 9.70639, 0.00426119, -0, -0.010653, 0.00230641, -0.0125026, -0.178829, 0.983798
0.731971, 0.220273, -0.0335198, 9.73512, 0.00532648, -0, -0.00958767, 0.00230641, -0.0125026, -0.178829, 0.983798
0.737965, 0.239427, -0.0335198, 9.73991, 0.00426119, -0, -0.00852238, 0.00230641, -0.0125026, -0.178829, 0.983798
0.750134, 0.196331, 0.0287313, 9.75906, 0.00319589, -0.0010653, -0.00852238, 0.00230641, -0.0125026, -0.178829, 0.983798
0.762, 0.215485, 0.00478855, 9.73512, 0.00426119, -0, -0.00745708, 0.002307, -0.0125025, -0.178782, 0.983807
0.767972, 0.205908, 0.00478855, 9.69681, 0, -0, -0.00745708, 0.002307, -0.0125025, -0.178782, 0.983807
0.77997, 0.22985, -0, 9.67287, 0.00639178, -0.0010653, -0.00852238, 0.00225984, -0.0124939, -0.178783, 0.983807
0.791995, 0.201119, 0.0191542, 9.7016, 0.00532648, -0.00319589, -0.00958767, 0.0023076, -0.0125024, -0.178735, 0.983815
0.79797, 0.239427, -0.0143656, 9.75428, 0.00532648, -0.00319589, -0.00745708, 0.00229903, -0.0125496, -0.178735, 0.983815
0.809972, 0.201119, -0.0143656, 9.71118, 0.00532648, -0, -0.010653, 0.00229903, -0.0125496, -0.178735, 0.983815
0.82196, 0.210696, 0.0095771, 9.68724, 0.00639178, -0, -0.00852238, 0.00229903, -0.0125496, -0.178735, 0.983815
0.827963, 0.220273, 0.0191542, 9.70639, 0.00213059, -0, -0.00958767, 0.00229963, -0.0125494, -0.178688, 0.983823
0.839968, 0.220273, 0.0143656, 9.72076, 0.00532648, -0.0010653, -0.00852238, 0.00229963, -0.0125494, -0.178688, 0.983823
0.851979, 0.22985, -0.0287313, 9.72554, 0.00426119, -0.0010653, -0.0117183, 0.00229903, -0.0125496, -0.178735, 0.983815
0.857972, 0.220273, -0.00478855, 9.66329, 0.00532648, -0.00319589, -0.0117183, 0.00229963, -0.0125494, -0.178688, 0.983823
0.869972, 0.186753, 0.00478855, 9.71118, 0.00745708, -0.00319589, -0.0127836, 0.00229903, -0.0125496, -0.178735, 0.983815
0.881981, 0.191542, 0.0143656, 9.67766, 0.00213059, -0.0010653, -0.010653, 0.00229963, -0.0125494, -0.178688, 0.983823
0.887977, 0.196331, -0.0095771, 9.68724, 0.00532648, -0.00213059, -0.010653, 0.00229963, -0.0125494, -0.178688, 0.983823
0.899981, 0.215485, -0, 9.66329, 0.00319589, -0.00319589, -0.00958767, 0.00229963, -0.0125494, -0.178688, 0.983823
0.912001, 0.220273, 0.0191542, 9.73512, 0.00639178, -0, -0.00639178, 0.00229963, -0.0125494, -0.178688, 0.983823
0.917974, 0.205908, -0.00478855, 9.71118, 0.00639178, -0.0010653, -0.00852238, 0.00230023, -0.0125493, -0.17864, 0.983832
0.929976, 0.220273, -0.0095771, 9.70639, 0.00532648, -0, -0.010653, 0.00230023, -0.0125493, -0.17864, 0.983832
0.942034, 0.196331, 0.0095771, 9.66329, 0.00426119, -0.00319589, -0.0117183, 0.00230023, -0.0125493, -0.17864, 0.983832
0.947972, 0.201119, 0.0095771, 9.72076, 0.00213059, 0.0010653, -0.00852238, 0.00230084, -0.0125492, -0.178593, 0.98384
0.959982, 0.225062, 0.0095771, 9.66808, 0.00319589, -0.0010653, -0.010653, 0.00230084, -0.0125492, -0.178593, 0.98384
0.97198, 0.225062, -0, 9.68245, 0.00532648, -0, -0.00958767, 0.00230084, -0.0125492, -0.178593, 0.98384
0.977966, 0.220273, -0.0383084, 9.66329, 0.00319589, 0.00213059, -0.00852238, 0.00230144, -0.0125491, -0.178546, 0.983849
0.989973, 0.220273, -0, 9.69202, 0.00213059, -0, -0.00745708, 0.00230144, -0.0125491, -0.178546, 0.983849
1.00197, 0.196331, -0.0335198, 9.67287, 0.00213059, -0, -0.00745708, 0.00225427, -0.0125406, -0.178547, 0.983849
1.00797, 0.215485, -0, 9.63935, 0.00319589, -0.0010653, -0.00852238, 0.00225427, -0.0125406, -0.178547, 0.983849
1.02002, 0.225062, 0.0143656, 9.67766, 0.00426119, -0, -0.0117183, 0.00225427, -0.0125406, -0.178547, 0.983849
1.03201, 0.220273, 0.0239427, 9.7447, 0.00319589, 0.0010653, -0.0117183, 0.00225427, -0.0125406, -0.178547, 0.983849
1.03797, 0.215485, 0.0143656, 9.72076, 0.00319589, -0.0010653, -0.00958767, 0.00226224, -0.0124935, -0.178594, 0.983841
1.04999, 0.220273, 0.0287313, 9.69681, 0.00426119, -0, -0.00852238, 0.00226224, -0.0124935, -0.178594, 0.983841
1.06199, 0.196331, 0.0095771, 9.71118, 0.00213059, -0, -0.00958767, 0.00226224, -0.0124935, -0.178594, 0.983841
1.06797, 0.225062, -0.0143656, 9.63935, 0.00213059, -0.0010653, -0.00639178, 0.00226284, -0.0124934, -0.178547, 0.983849
1.07998, 0.210696, -0.00478855, 9.7016, 0.00319589, -0, -0.00852238, 0.00226344, -0.0124933, -0.1785, 0.983858
1.09202, 0.225062, 0.0287313, 9.70639, 0.00745708, 0.00213059, -0.00852238, 0.00226344, -0.0124933, -0.1785, 0.983858
1.09796, 0.201119, -0.0335198, 9.66808, 0.00532648, -0.00213059, -0.00639178, 0.00226344, -0.0124933, -0.1785, 0.983858
1.11002, 0.191542, -0.0287313, 9.72076, 0.00319589, -0.0010653, -0.00958767, 0.00226404, -0.0124932, -0.178453, 0.983867
1.12196, 0.244216, 0.0095771, 9.71118, 0.00532648, -0.00319589, -0.00745708, 0.00226463, -0.0124931, -0.178405, 0.983875
1.12795, 0.215485, -0, 9.62977, 0.00213059, -0.0010653, -0.00745708, 0.00226463, -0.0124931, -0.178405, 0.983875
1.13996, 0.220273, -0.00478855, 9.69681, 0.00319589, -0.00319589, -0.0117183, 0.00221807, -0.0124844, -0.178359, 0.983884
1.15196, 0.191542, -0.00478855, 9.65372, 0.00426119, -0, -0.0117183, 0.00221807, -0.0124844, -0.178359, 0.983884
1.15797, 0.210696, 0.0095771, 9.69681, 0.00426119, -0, -0.00958767, 0.00221807, -0.0124844, -0.178359, 0.983884
1.16999, 0.225062, 0.0239427, 9.67287, 0.00319589, -0, -0.00958767, 0.00221807, -0.0124844, -0.178359, 0.983884
1.18197, 0.196331, -0.00478855, 9.66329, 0.00852238, -0, -0.010653, 0.00221807, -0.0124844, -0.178359, 0.983884
1.18799, 0.196331, 0.0143656, 9.68724, 0.0010653, -0, -0.010653, 0.00226523, -0.012493, -0.178358, 0.983884
1.19996, 0.215485, 0.0239427, 9.69202, 0.00426119, -0, -0.010653, 0.00226523, -0.012493, -0.178358, 0.983884
1.21199, 0.181965, 0.0335198, 9.71597, 0.00319589, -0.00213059, -0.00958767, 0.00226523, -0.012493, -0.178358, 0.983884
1.21797, 0.205908, -0.0143656, 9.7016, 0.00319589, -0, -0.00639178, 0.00226583, -0.0124928, -0.178311, 0.983892
1.23, 0.186753, -0.0191542, 9.68245, 0, -0.00213059, -0.010653, 0.00221867, -0.0124843, -0.178312, 0.983892
1.24198, 0.210696, 0.0383084, 9.62977, 0.00319589, -0.0010653, -0.00852238, 0.00221926, -0.0124842, -0.178265, 0.983901
1.24808, 0.210696, -0.0191542, 9.63935, 0.00532648, -0.0010653, -0.0117183, 0.00221867, -0.0124843, -0.178312, 0.983892
1.25998, 0.220273, 0.0191542, 9.70639, 0.00426119, -0.0010653, -0.00958767, 0.00221867, -0.0124843, -0.178312, 0.983892
1.27197, 0.220273, -0, 9.7447, 0.00426119, -0, -0.00852238, 0.00221867, -0.0124843, -0.178312, 0.983892
1.27797, 0.201119, 0.0430969, 9.7016, 0.00213059, -0, -0.0127836, 0.00221926, -0.0124842, -0.178265, 0.983901
1.29, 0.215485, 0.0383084, 9.67287, 0.0010653, -0, -0.010653, 0.00221867, -0.0124843, -0.178312, 0.983892
1.30198, 0.196331, 0.0143656, 9.7016, 0.00213059, -0.0010653, -0.00852238, 0.00221867, -0.0124843, -0.178312, 0.983892
1.30797, 0.205908, -0.0143656, 9.67287, 0.00319589, -0, -0.00852238, 0.00221867, -0.0124843, -0.178312, 0.983892
1.31998, 0.225062, 0.00478855, 9.73991, 0.00319589, 0.0010653, -0.00639178, 0.00222782, -0.012437, -0.178265, 0.983901
1.33196, 0.196331, -0.0191542, 9.71597, 0.00532648, -0, -0.00852238, 0.00218124, -0.0124284, -0.178218, 0.98391
1.33796, 0.244216, 0.0239427, 9.71118, 0.00213059, 0.0010653, -0.00852238, 0.00218124, -0.0124284, -0.178218, 0.98391
1.34998, 0.210696, 0.0383084, 9.64893, 0.00319589, -0, -0.010653, 0.00222841, -0.0124369, -0.178218, 0.98391
1.36197, 0.191542, -0.00478855, 9.66808, 0.00532648, -0.0010653, -0.00745708, 0.00218124, -0.0124284, -0.178218, 0.98391
1.36802, 0.215485, -0.0239427, 9.71597, 0.00426119, -0, -0.010653, 0.00218124, -0.0124284, -0.178218, 0.98391
1.37999, 0.158022, -0, 9.73033, 0.0010653, 0.00319589, -0.010653, 0.00219039, -0.0123811, -0.178171, 0.983919
1.392, 0.196331, 0.00478855, 9.74949, 0.00426119, -0.00319589, -0.00852238, 0.00219039, -0.0123811, -0.178171, 0.983919
1.39799, 0.253793, -0, 9.76385, 0.00426119, -0, -0.00958767, 0.00219039, -0.0123811, -0.178171, 0.983919
1.40998, 0.201119, 0.0191542, 9.68245, 0.00745708, -0.0010653, -0.00958767, 0.00219039, -0.0123811, -0.178171, 0.983919
1.42197, 0.196331, 0.00478855, 9.69202, 0.00639178, -0.00213059, -0.00745708, 0.00223755, -0.0123896, -0.178171, 0.983919
