t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.205908, -0.0335198, 9.7016, 0.00319589, -0.00319589, -0.00639178, 0.00437434, -0.0139745, -0.0824205, 0.99649
0.00611591, 0.239427, 0.0239427, 9.6585, 0.0010653, -0, -0.00958767, 0.00432657, -0.0139705, -0.0824212, 0.99649
0.0179744, 0.210696, -0.0095771, 9.69681, 0.00532648, -0, -0.00958767, 0.00432724, -0.0139703, -0.0823734, 0.996494
0.0299759, 0.22985, 0.0430969, 9.63935, 0.00639178, -0.00213059, -0.00958767, 0.00432657, -0.0139705, -0.0824212, 0.99649
0.0359879, 0.258582, -0, 9.66329, 0.00426119, -0.00319589, -0.0117183, 0.00432657, -0.0139705, -0.0824212, 0.99649
0.0479693, 0.277736, 0.0191542, 9.67287, 0.00639178, -0, -0.00745708, 0.00432657, -0.0139705, -0.0824212, 0.99649
0.0599821, 0.249005, 0.0191542, 9.68245, 0.00852238, -0, -0.00958767, 0.00437434, -0.0139745, -0.0824205, 0.99649
0.065973, 0.258582, 0.0670397, 9.69681, 0.00319589, -0.00213059, -0.00532648, 0.00437501, -0.0139743, -0.0823728, 0.996494
0.0780091, 0.249005, 0.00478855, 9.73991, 0.00213059, -0.00213059, -0.00852238, 0.00437105, -0.014022, -0.0823724, 0.996493
0.0900698, 0.272947, 0.00478855, 9.68245, 0.00532648, -0, -0.00745708, 0.00437105, -0.014022, -0.0823724, 0.996493
0.096005, 0.22985, 0.0191542, 9.66329, 0.00639178, -0, -0.00958767, 0.00437105, -0.014022, -0.0823724, 0.996493
0.10797, 0.268159, 0.00478855, 9.71118, 0.00532648, -0.00213059, -0.00745708, 0.00437105, -0.014022, -0.0823724, 0.996493
0.119977, 0.249005, -0.0287313, 9.68724, 0.00426119, -0.00213059, -0.00958767, 0.00437105, -0.014022, -0.0823724, 0.996493
0.125967, 0.272947, 0.0239427, 9.63456, 0.00532648, -0, -0.0127836, 0.00437038, -0.0140222, -0.0824202, 0.996489
0.137987, 0.26337, -0, 9.69681, 0.00426119, -0.00213059, -0.00958767, 0.00437105, -0.014022, -0.0823724, 0.996493
0.149976, 0.225062, -0.0143656, 9.69681, 0.00532648, -0, -0.00958767, 0.00437105, -0.014022, -0.0823724, 0.996493
0.155981, 0.244216, -0.0287313, 9.65372, 0.00319589, -0, -0.00958767, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.167974, 0.244216, 0.0191542, 9.73512, 0, -0, -0.00852238, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.179991, 0.225062, -0.00478855, 9.69202, 0.00426119, -0.0010653, -0.00958767, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.185966, 0.239427, 0.00478855, 9.70639, 0.00426119, -0.0010653, -0.00958767, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.197986, 0.234639, 0.0239427, 9.69681, 0.00532648, -0.00213059, -0.00958767, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.209981, 0.225062, -0, 9.69202, 0.00319589, -0.00213059, -0.00745708, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.21598, 0.22985, 0.0191542, 9.75906, 0.00639178, 0.0010653, -0.00745708, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.22801, 0.272947, -0, 9.69202, 0.00532648, -0.0010653, -0.010653, 0.00432328, -0.0140181, -0.0823731, 0.996494
0.240049, 0.215485, -0, 9.7447, 0.00319589, -0.00213059, -0.00745708, 0.00427619, -0.0140139, -0.082326, 0.996498
0.245969, 0.172388, -0.0239427, 9.69681, 0.00426119, -0, -0.00958767, 0.00428081, -0.013966, -0.0822786, 0.996502
0.257982, 0.22985, 0.0239427, 9.67287, 0.00426119, 0.0010653, -0.00852238, 0.00428081, -0.013966, -0.0822786, 0.996502
0.269996, 0.225062, 0.0191542, 9.67287, 0.00426119, -0, -0.00852238, 0.00428081, -0.013966, -0.0822786, 0.996502
0.275979, 0.249005, 0.0095771, 9.72076, 0.00426119, -0.0010653, -0.0117183, 0.00428476, -0.0139182, -0.0822789, 0.996503
0.287966, 0.244216, -0, 9.69681, 0.00639178, -0.0010653, -0.00532648, 0.00428081, -0.013966, -0.0822786, 0.996502
0.300016, 0.258582, -0.0239427, 9.72076, 0.00852238, -0.00213059, -0.00639178, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.306119, 0.22985, 0.0239427, 9.67766, 0.00532648, -0.0010653, -0.00958767, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.317976, 0.26337, -0, 9.7016, 0.00213059, -0, -0.00852238, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.329974, 0.268159, 0.00478855, 9.74949, 0.00319589, -0.00319589, -0.00639178, 0.00427947, -0.0139664, -0.0823741, 0.996494
0.335965, 0.282524, 0.0383084, 9.67766, 0.00426119, -0.00319589, -0.010653, 0.00427619, -0.0140139, -0.082326, 0.996498
0.347973, 0.234639, 0.0143656, 9.64893, 0.00639178, -0, -0.00852238, 0.00427551, -0.0140141, -0.0823738, 0.996494
0.359976, 0.215485, 0.00478855, 9.73991, 0.00319589, -0.0010653, -0.00532648, 0.00427947, -0.0139664, -0.0823741, 0.996494
0.366003, 0.215485, 0.0335198, 9.74949, 0.00426119, -0, -0.00745708, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.377986, 0.225062, 0.0143656, 9.72554, 0.00532648, -0, -0.00852238, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.389988, 0.215485, -0, 9.73512, 0.00639178, -0, -0.00852238, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.395985, 0.268159, 0.0239427, 9.72076, 0.00532648, -0.00213059, -0.0117183, 0.00428014, -0.0139662, -0.0823263, 0.996498
0.407968, 0.282524, 0.0478855, 9.68724, 0.00639178, -0.0010653, -0.00639178, 0.00432791, -0.0139701, -0.0823257, 0.996498
