t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 2.2458, 2.62467, 0.18466, 3.11869, 3.1397, 2.05743, -0.0102983, -0.00509873, -0.515896, 0.856574
0.00981116, 2.24784, 2.62158, 0.184612, 3.11844, 3.13926, 2.06179, -0.0105299, -0.00495179, -0.514028, 0.857694
0.0198765, 2.25014, 2.61834, 0.1847, 3.11853, 3.13935, 2.06656, -0.010477, -0.0049396, -0.511983, 0.858918
0.029954, 2.25254, 2.61487, 0.184624, 3.11837, 3.13963, 2.07159, -0.0104868, -0.00507689, -0.509816, 0.860205
0.0397758, 2.25508, 2.61125, 0.184637, 3.11889, 3.14007, 2.07673, -0.0101659, -0.00510872, -0.507606, 0.861514
0.049891, 2.2579, 2.60749, 0.184706, 3.11906, 3.14007, 2.08216, -0.0101068, -0.00503701, -0.505265, 0.86289
0.0597458, 2.26073, 2.60353, 0.184656, 3.11894, 3.1397, 2.08789, -0.0102671, -0.00487831, -0.502791, 0.864333
0.0698888, 2.26372, 2.59942, 0.184625, 3.11899, 3.13991, 2.09394, -0.0102069, -0.00492246, -0.500172, 0.865852
0.079952, 2.26682, 2.59516, 0.184566, 3.11901, 3.14083, 2.10037, -0.00998421, -0.00528295, -0.497384, 0.867457
0.0899117, 2.27008, 2.59077, 0.184457, 3.11898, -3.14114, 2.10705, -0.00971432, -0.00578531, -0.494478, 0.869117
0.0998709, 2.27355, 2.58628, 0.184449, 3.11845, -3.14108, 2.11389, -0.00995034, -0.00591148, -0.491499, 0.870801
0.114865, 2.27907, 2.57923, 0.184323, 3.11825, -3.14049, 2.12464, -0.00992549, -0.00616604, -0.486809, 0.87343
0.119925, 2.28099, 2.57674, 0.184307, 3.11853, -3.14025, 2.12849, -0.00975565, -0.00618084, -0.485125, 0.874369
0.134906, 2.287, 2.56928, 0.184239, 3.11855, -3.14065, 2.13985, -0.00987898, -0.00594311, -0.480151, 0.87711
0.144879, 2.29118, 2.56408, 0.184171, 3.11902, -3.14021, 2.14767, -0.0095941, -0.00598726, -0.476721, 0.878982
0.154931, 2.29555, 2.55885, 0.184127, 3.11918, -3.14037, 2.15555, -0.00958196, -0.00584362, -0.473255, 0.880854
0.164864, 2.30004, 2.55349, 0.184081, 3.11917, -3.14053, 2.16412, -0.00964877, -0.00573257, -0.469475, 0.882875
0.174947, 2.30473, 2.5481, 0.18408, 3.11964, -3.14053, 2.1721, -0.00946546, -0.00558504, -0.465951, 0.884742
0.184963, 2.30947, 2.54261, 0.184049, 3.11956, -3.13998, 2.18116, -0.00940025, -0.00580395, -0.461937, 0.886844
0.194763, 2.31434, 2.53703, 0.183954, 3.11992, -3.13876, 2.18996, -0.00898647, -0.00622249, -0.458022, 0.888873
0.20487, 2.31939, 2.53135, 0.183917, 3.12056, -3.13791, 2.19902, -0.00853628, -0.0064137, -0.45399, 0.890943
0.21475, 2.32467, 2.52561, 0.184024, 3.1211, -3.1381, 2.20814, -0.00836367, -0.00617142, -0.449923, 0.893007
0.224875, 2.33008, 2.51976, 0.183986, 3.12136, -3.13741, 2.21798, -0.00812336, -0.00638065, -0.445521, 0.895212
0.234937, 2.33573, 2.51394, 0.183985, 3.12199, -3.13604, 2.22719, -0.00756781, -0.00681768, -0.441393, 0.897256
0.244794, 2.34152, 2.50812, 0.18404, 3.12152, -3.1363, 2.23709, -0.00787226, -0.00676814, -0.436945, 0.899428
0.254905, 2.3474, 2.50212, 0.183981, 3.12062, -3.13707, 2.24737, -0.00847557, -0.00657354, -0.432314, 0.901659
0.264924, 2.35362, 2.49604, 0.183915, 3.1202, -3.13716, 2.25769, -0.00872075, -0.0065805, -0.427656, 0.903875
0.274937, 2.36009, 2.48999, 0.183993, 3.12103, -3.13671, 2.26811, -0.00828286, -0.00656051, -0.422941, 0.906096
0.284858, 2.36665, 2.48377, 0.183913, 3.12119, -3.13614, 2.279, -0.00812983, -0.00674052, -0.418001, 0.908385
0.294831, 2.37322, 2.47748, 0.184046, 3.12091, -3.13762, 2.29049, -0.00859864, -0.0060783, -0.412781, 0.91077
0.309922, 2.38336, 2.46805, 0.18404, 3.12207, -3.13567, 2.30768, -0.00772422, -0.00665953, -0.404932, 0.91429
0.319978, 2.39035, 2.46176, 0.184099, 3.1216, -3.13646, 2.31978, -0.00814005, -0.00634809, -0.399394, 0.916721
0.329995, 2.39737, 2.4553, 0.184078, 3.12259, -3.13572, 2.33152, -0.00757581, -0.00644393, -0.394006, 0.919054
0.339908, 2.40454, 2.44888, 0.184103, 3.12358, -3.13509, 2.34375, -0.007037, -0.00649225, -0.388378, 0.921451
0.349971, 2.41189, 2.44256, 0.1841, 3.12443, -3.13456, 2.35564, -0.00657937, -0.00653354, -0.382895, 0.923745
0.359914, 2.41933, 2.43632, 0.18401, 3.12524, -3.13372, 2.36766, -0.00608551, -0.00672884, -0.377334, 0.926033
0.369934, 2.42697, 2.43032, 0.184086, 3.12392, -3.13578, 2.37974, -0.00712435, -0.00598399, -0.371739, 0.928291
0.379894, 2.43462, 2.42442, 0.184251, 3.1232, -3.13731, 2.3916, -0.00777405, -0.00536232, -0.366236, 0.930474
0.389925, 2.44218, 2.41852, 0.184228, 3.1242, -3.1362, 2.40205, -0.00713326, -0.00565526, -0.361363, 0.932381
0.399996, 2.44962, 2.41264, 0.184221, 3.12375, -3.13653, 2.41212, -0.00743297, -0.00554959, -0.356667, 0.934185
0.409943, 2.45712, 2.40686, 0.184248, 3.12378, -3.13663, 2.42073, -0.00745858, -0.0054631, -0.352642, 0.935712
0.41983, 2.46445, 2.40108, 0.184246, 3.12491, -3.13558, 2.42896, -0.00677027, -0.00572944, -0.348788, 0.93716
0.429935, 2.47169, 2.39533, 0.184194, 3.12704, -3.13335, 2.4387, -0.00540989, -0.00637465, -0.344218, 0.938853
