t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 4.34384, 2.76531, 0.18987, 3.14005, -3.0966, -1.85336, -0.0141235, -0.0175266, 0.600353, 0.799419
0.0101683, 4.34383, 2.76528, 0.189889, 3.14005, -3.09674, -1.8533, -0.0140841, -0.0174673, 0.600377, 0.799402
0.0200872, 4.34382, 2.7653, 0.189867, 3.14014, -3.09673, -1.85337, -0.0140521, -0.0174998, 0.600351, 0.799422
0.0300841, 4.34381, 2.76529, 0.189866, 3.14015, -3.09675, -1.85338, -0.0140396, -0.0174942, 0.600344, 0.799427
0.0401454, 4.3438, 2.7653, 0.189845, 3.14009, -3.09646, -1.85345, -0.0141504, -0.0175934, 0.600318, 0.799443
0.0501256, 4.34383, 2.76531, 0.189848, 3.14009, -3.09666, -1.85336, -0.0140914, -0.017514, 0.600356, 0.799417
0.060096, 4.34385, 2.76528, 0.189907, 3.14015, -3.09685, -1.8533, -0.0140097, -0.0174541, 0.60038, 0.799402
0.0698862, 4.34381, 2.76529, 0.189886, 3.14001, -3.09659, -1.85334, -0.0141445, -0.0175163, 0.600363, 0.799411
0.0800545, 4.34382, 2.7653, 0.18987, 3.14016, -3.09677, -1.8534, -0.014027, -0.01749, 0.600339, 0.799432
0.0901453, 4.34382, 2.76529, 0.189865, 3.14, -3.09645, -1.85336, -0.014189, -0.0175698, 0.600353, 0.799417
0.105032, 4.34384, 2.76529, 0.189871, 3.14022, -3.09689, -1.85338, -0.013972, -0.0174593, 0.600346, 0.799428
0.115118, 4.34383, 2.76528, 0.189874, 3.14015, -3.09666, -1.85334, -0.0140666, -0.0175309, 0.600362, 0.799413
0.125098, 4.34384, 2.7653, 0.189877, 3.14013, -3.0968, -1.8533, -0.0140331, -0.0174691, 0.600378, 0.799403
0.135135, 4.34381, 2.76528, 0.189859, 3.14008, -3.09666, -1.85334, -0.0140947, -0.0175069, 0.600362, 0.799412
0.145074, 4.34383, 2.7653, 0.189853, 3.14007, -3.09649, -1.85335, -0.0141473, -0.0175735, 0.600355, 0.799415
0.15507, 4.34382, 2.76529, 0.189865, 3.14008, -3.09679, -1.8533, -0.014054, -0.0174561, 0.600381, 0.7994
0.165121, 4.34381, 2.7653, 0.189836, 3.14037, -3.0973, -1.8535, -0.0137849, -0.0173412, 0.600298, 0.799469
0.175226, 4.34381, 2.76531, 0.189867, 3.14017, -3.09675, -1.85346, -0.0140307, -0.0174988, 0.600313, 0.799451
0.185145, 4.34383, 2.76528, 0.189869, 3.14015, -3.09677, -1.85332, -0.0140364, -0.0174858, 0.60037, 0.799408
0.195035, 4.34384, 2.7653, 0.189873, 3.13999, -3.09649, -1.85328, -0.0141835, -0.0175485, 0.600386, 0.799392
0.205038, 4.34384, 2.76529, 0.189874, 3.14018, -3.09689, -1.85334, -0.0139847, -0.0174489, 0.600363, 0.799415
0.215103, 4.34381, 2.76529, 0.189867, 3.14008, -3.09662, -1.85332, -0.0141051, -0.0175259, 0.60037, 0.799406
0.22511, 4.34382, 2.7653, 0.189846, 3.14013, -3.09658, -1.85342, -0.0141005, -0.0175563, 0.600327, 0.799437
0.235138, 4.34384, 2.76529, 0.189868, 3.14, -3.09648, -1.85331, -0.0141814, -0.0175588, 0.600375, 0.7994
0.245105, 4.34383, 2.76529, 0.189871, 3.14016, -3.09678, -1.85333, -0.0140249, -0.0174854, 0.600365, 0.799412
0.255144, 4.34384, 2.76529, 0.189891, 3.14009, -3.09685, -1.85335, -0.014031, -0.017437, 0.600358, 0.799418
0.265106, 4.34383, 2.7653, 0.189871, 3.14019, -3.09687, -1.8534, -0.013988, -0.0174575, 0.600337, 0.799434
0.279974, 4.34381, 2.76529, 0.189847, 3.14014, -3.09669, -1.85335, -0.0140589, -0.0175157, 0.600356, 0.799417
0.289976, 4.34382, 2.76531, 0.189852, 3.14005, -3.09648, -1.85337, -0.0141582, -0.017572, 0.600348, 0.79942
0.299956, 4.34383, 2.76528, 0.189869, 3.14015, -3.09677, -1.85332, -0.0140365, -0.0174858, 0.60037, 0.799408
0.310093, 4.34381, 2.76529, 0.189866, 3.14015, -3.09675, -1.85338, -0.0140396, -0.0174943, 0.600344, 0.799427
0.319897, 4.34383, 2.7653, 0.189868, 3.13997, -3.09646, -1.85333, -0.0141974, -0.017557, 0.600366, 0.799407
0.330078, 4.34383, 2.76532, 0.189867, 3.14001, -3.09665, -1.85335, -0.0141245, -0.0174907, 0.600357, 0.799416
0.340131, 4.34384, 2.76529, 0.189873, 3.13998, -3.09647, -1.8533, -0.0141911, -0.0175535, 0.600377, 0.799399
0.350157, 4.34381, 2.76528, 0.189865, 3.14015, -3.09674, -1.85338, -0.014043, -0.0174962, 0.600348, 0.799424
0.360085, 4.34381, 2.76529, 0.189866, 3.14015, -3.09675, -1.85338, -0.0140396, -0.0174943, 0.600344, 0.799427
0.369917, 4.34382, 2.76531, 0.189874, 3.14013, -3.09678, -1.85337, -0.0140371, -0.0174781, 0.600352, 0.799422
0.379941, 4.34384, 2.7653, 0.189873, 3.13999, -3.09649, -1.85328, -0.0141835, -0.0175485, 0.600386, 0.799392
0.390108, 4.34385, 2.76529, 0.189879, 3.14009, -3.09667, -1.85331, -0.0140859, -0.0175082, 0.600375, 0.799403
0.399945, 4.34381, 2.76528, 0.1898, 3.14119, -3.09819, -1.8534, -0.0131927, -0.0172326, 0.600339, 0.799451
0.410052, 4.3438, 2.76553, 0.189703, 0.00130565, -0.0439133, 1.28914, -0.01267, -0.017942, 0.600697, 0.799175
0.419994, 4.34386, 2.76622, 0.189601, 0.00284405, -0.0438893, 1.29062, -0.0120616, -0.0183855, 0.601275, 0.79874
0.430107, 4.34418, 2.76762, 0.189596, 0.00223573, -0.0445866, 1.29305, -0.0125367, -0.0184659, 0.602246, 0.797999
0.440139, 4.34448, 2.76948, 0.189691, 0.000683761, -0.0450083, 1.29557, -0.0133058, -0.01815, 0.603264, 0.797224
0.455046, 4.34498, 2.77269, 0.189826, 0.00154753, -0.0450288, 1.29966, -0.0130053, -0.0183922, 0.604886, 0.795994
0.465069, 4.34545, 2.7751, 0.189855, 0.00241449, -0.0447719, 1.30309, -0.0126143, -0.0185305, 0.606242, 0.794964
0.47497, 4.34595, 2.77797, 0.189819, 0.00272918, -0.0446692, 1.30673, -0.012492, -0.0185624, 0.607687, 0.793862
0.48513, 4.34641, 2.78126, 0.189752, 0.00349798, -0.0439573, 1.31037, -0.0120041, -0.0184917, 0.609127, 0.792766
0.495087, 4.347, 2.78479, 0.189735, 0.003711, -0.0428143, 1.31482, -0.0116118, -0.0180776, 0.610897, 0.791418
0.505023, 4.34765, 2.78858, 0.189682, 0.00460257, -0.0417587, 1.31935, -0.0109771, -0.0179075, 0.612686, 0.790047
0.515108, 4.34824, 2.79257, 0.189627, 0.0050842, -0.0415471, 1.32444, -0.0107677, -0.0179441, 0.614694, 0.788488
0.525074, 4.34885, 2.79678, 0.189645, 0.00530771, -0.041604, 1.32973, -0.0107448, -0.0180069, 0.616773, 0.786861
0.535134, 4.34961, 2.8012, 0.189669, 0.00504252, -0.0421931, 1.33594, -0.0110871, -0.0181225, 0.619211, 0.784937
0.545146, 4.35018, 2.80587, 0.189579, 0.00614103, -0.0409299, 1.34151, -0.0103148, -0.0179382, 0.621396, 0.783223
0.55508, 4.35085, 2.81069, 0.189523, 0.00670114, -0.0397932, 1.34781, -0.00979783, -0.0176364, 0.623862, 0.781274
0.56509, 4.3515, 2.81576, 0.189466, 0.00690943, -0.0401664, 1.35427, -0.00989053, -0.0178153, 0.62638, 0.779252
0.575032, 4.35219, 2.82105, 0.189423, 0.00773726, -0.0388051, 1.36078, -0.00919859, -0.0175144, 0.628914, 0.777223
0.585064, 4.35281, 2.82657, 0.189438, 0.00768535, -0.0387414, 1.3677, -0.00925917, -0.0174413, 0.631603, 0.77504
0.595207, 4.35336, 2.83231, 0.189397, 0.00781437, -0.0386309, 1.37479, -0.00923597, -0.0174067, 0.634343, 0.772801
0.604974, 4.35382, 2.83821, 0.18936, 0.00816519, -0.038481, 1.38178, -0.0091138, -0.0174283, 0.637038, 0.770582
0.620027, 4.35464, 2.84742, 0.18943, 0.00819853, -0.0383469, 1.39349, -0.00915993, -0.0173339, 0.641541, 0.766838
0.624972, 4.35482, 2.85055, 0.189403, 0.0081492, -0.0383125, 1.39706, -0.00919869, -0.0172885, 0.64291, 0.765691
0.635134, 4.35523, 2.85705, 0.189447, 0.00831041, -0.0373177, 1.40505, -0.0088848, -0.0169241, 0.645969, 0.763124
0.650104, 4.35567, 2.867, 0.189426, 0.00881573, -0.0384826, 1.41709, -0.00917371, -0.0174768, 0.650539, 0.759216
0.660288, 4.35585, 2.87382, 0.18931, 0.00988661, -0.0379244, 1.42538, -0.00865848, -0.0175776, 0.653675, 0.756522
0.670084, 4.35598, 2.88088, 0.189336, 0.010035, -0.039367, 1.43396, -0.00915185, -0.0181325, 0.656901, 0.753703
0.680173, 4.35613, 2.8881, 0.189389, 0.0100246, -0.0397079, 1.44279, -0.00934826, -0.0182165, 0.660219, 0.750794
0.690134, 4.35622, 2.8955, 0.189346, 0.0107733, -0.038935, 1.45172, -0.00889312, -0.018134, 0.663566, 0.747845
0.700052, 4.35627, 2.90307, 0.189367, 0.0110808, -0.0382503, 1.46105, -0.00863458, -0.01794, 0.667048, 0.744749
0.710183, 4.35628, 2.91081, 0.189411, 0.011531, -0.0385622, 1.4706, -0.00865787, -0.0181651, 0.670591, 0.741554
0.72004, 4.35618, 2.91865, 0.189459, 0.0119289, -0.039608, 1.48025, -0.0089512, -0.0186432, 0.67415, 0.738305
0.730116, 4.35594, 2.9267, 0.189384, 0.012657, -0.0392081, 1.48986, -0.00863747, -0.0186998, 0.677685, 0.735064
0.740236, 4.35564, 2.93487, 0.189414, 0.0126456, -0.0393797, 1.50001, -0.00879497, -0.0187146, 0.681406, 0.731613
0.750179, 4.3553, 2.94319, 0.189542, 0.0125698, -0.0395003, 1.51007, -0.00895785, -0.0186881, 0.685075, 0.728178
0.76019, 4.35495, 2.95179, 0.189307, 0.0141337, -0.0223785, 1.51604, -0.00256054, -0.0129832, 0.687368, 0.726188
0.769935, 4.35436, 2.96037, 0.189406, 0.0141951, -0.0231606, 1.52634, -0.00287547, -0.0132736, 0.691093, 0.722638
0.780096, 4.3537, 2.96897, 0.18949, 0.0144814, -0.023143, 1.5369, -0.00283646, -0.0133514, 0.694897, 0.718979
0.790222, 4.35303, 2.97767, 0.189451, 0.0157936, -0.0222656, 1.54752, -0.00213142, -0.0134809, 0.6987, 0.715284
0.805106, 4.35181, 2.99081, 0.189379, 0.0170935, -0.0223607, 1.56414, -0.00181583, -0.0139544, 0.704613, 0.709452
0.810132, 4.35125, 2.99529, 0.189301, 0.0174006, -0.0228084, 1.56956, -0.00190314, -0.0142163, 0.706526, 0.707542
0.825134, 4.34969, 3.00908, 0.189194, 0.0177921, -0.021719, 1.58637, -0.00149707, -0.0139571, 0.712453, 0.70158
0.835112, 4.34862, 3.01855, 0.189186, 0.017731, -0.0194928, 1.59739, -0.000797829, -0.0131504, 0.716323, 0.697645
0.844914, 4.34725, 3.02825, 0.189296, 0.0166577, -0.021908, 1.60989, -0.00212239, -0.0135953, 0.720662, 0.69315
0.855079, 4.34562, 3.0381, 0.189315, 0.0170493, -0.0225635, 1.62203, -0.00230764, -0.0139498, 0.724848, 0.688763
0.864977, 4.34407, 3.04802, 0.189449, 0.0170301, -0.0226323, 1.63439, -0.00242542, -0.0139518, 0.729089, 0.684273
0.875087, 4.34247, 3.05801, 0.189626, 0.0172435, -0.02148, 1.64712, -0.00201902, -0.0136228, 0.733436, 0.679619
0.885146, 4.34079, 3.06802, 0.189717, 0.0178051, -0.0203151, 1.66066, -0.00149186, -0.0134233, 0.738027, 0.674637
0.895167, 4.33894, 3.07812, 0.189759, 0.0185453, -0.0214601, 1.67413, -0.00175958, -0.014071, 0.74254, 0.669652
0.905011, 4.33696, 3.08828, 0.189654, 0.0189345, -0.0218447, 1.68766, -0.00186906, -0.0143319, 0.747048, 0.664613
0.915172, 4.33497, 3.09848, 0.189523, 0.0191865, -0.0206956, 1.70118, -0.00145096, -0.0140348, 0.75153, 0.659548
0.925131, 4.33289, 3.1088, 0.189311, 0.020454, -0.0192903, 1.71507, -0.000602346, -0.0140439, 0.756092, 0.654314
0.935081, 4.33041, 3.11916, 0.189276, 0.0213536, -0.0183636, 1.72865, -5.32303e-05, -0.0140809, 0.760518, 0.649165
0.945107, 4.32778, 3.12967, 0.189351, 0.0220047, -0.0194095, 1.74306, -0.000345363, -0.0146657, 0.765164, 0.643668
0.955121, 4.32515, 3.14027, 0.189524, 0.0227838, -0.0190661, 1.7576, -7.11993e-05, -0.0148532, 0.76982, 0.638088
0.965144, 4.3222, 3.15091, 0.189594, 0.0238473, -0.0168179, 1.77172, 0.00103085, -0.0145531, 0.774315, 0.632632
0.975176, 4.31909, 3.16158, 0.189601, 0.0247779, -0.0156681, 1.7862, 0.00166508, -0.0145622, 0.778875, 0.627008
0.985131, 4.31587, 3.17244, 0.189706, 0.0251231, -0.0152663, 1.80098, 0.00182214, -0.0145846, 0.783486, 0.621236
0.995151, 4.31228, 3.18331, 0.189657, 0.0257346, -0.0147517, 1.81512, 0.0021099, -0.0146796, 0.787859, 0.615677
1.0102, 4.30588, 3.20034, 0.189528, 0.0272296, -0.00708271, 1.83548, 0.0054599, -0.0129644, 0.794121, 0.607596
1.01994, 4.30182, 3.21132, 0.189581, 0.0276387, -0.00700555, 1.84977, 0.00552102, -0.0131432, 0.798442, 0.601903
1.0301, 4.29765, 3.22226, 0.189614, 0.0278088, -0.0059791, 1.86401, 0.00589004, -0.0129446, 0.802711, 0.596199
1.03999, 4.2933, 3.23327, 0.189744, 0.0282947, -0.00589715, 1.87906, 0.00596893, -0.0131604, 0.807171, 0.590141
1.05008, 4.2887, 3.24429, 0.189818, 0.029564, -0.00715546, 1.89419, 0.00572914, -0.0140877, 0.811598, 0.584018
1.05992, 4.28514, 3.25761, 0.189665, 0.0305626, -0.00122199, 1.915, 0.0082955, -0.0128475, 0.817653, 0.575508
1.07012, 4.28022, 3.26894, 0.189679, 0.0298518, -0.0016761, 1.93014, 0.007809, -0.0127471, 0.82199, 0.569305
1.08013, 4.27452, 3.28076, 0.190157, 0.0289465, -0.00479712, 1.94338, 0.00618061, -0.0133045, 0.825731, 0.563873
1.09014, 4.26887, 3.29202, 0.190265, 0.0273932, 0.00840258, 1.95747, 0.0111293, -0.00902049, 0.829739, 0.557968
1.10011, 4.26347, 3.30306, 0.190184, 0.0280883, 0.0110591, 1.97328, 0.0123571, -0.00866556, 0.834126, 0.551367
1.11017, 4.25775, 3.31418, 0.190112, 0.0288267, 0.0110819, 1.98937, 0.0124975, -0.00906807, 0.838532, 0.544634
1.12008, 4.25164, 3.3253, 0.190161, 0.028421, 0.0105997, 2.00535, 0.0121124, -0.00912636, 0.842856, 0.537926
1.13007, 4.24535, 3.3365, 0.190115, 0.0274762, 0.0100202, 2.02114, 0.0115436, -0.00897552, 0.847081, 0.531262
1.14015, 4.23901, 3.34778, 0.19021, 0.0260272, 0.0112223, 2.03729, 0.0116025, -0.00813638, 0.851351, 0.524405
1.15014, 4.23273, 3.35811, 0.189595, 0.026023, 0.00776849, 2.05692, 0.0100421, -0.0091394, 0.856452, 0.516047
1.15993, 4.22578, 3.36931, 0.189788, 0.0257208, 0.0064862, 2.07339, 0.00933777, -0.0094181, 0.860673, 0.508986
1.17505, 4.21505, 3.38609, 0.190184, 0.0246649, 0.0056101, 2.0983, 0.00857697, -0.00929425, 0.866948, 0.498238
1.18008, 4.2113, 3.39165, 0.190221, 0.0253546, 0.00453251, 2.10654, 0.00824097, -0.00989574, 0.868989, 0.494664
1.19492, 4.19979, 3.40818, 0.19035, 0.0255432, 0.00201011, 2.13172, 0.00705765, -0.0106913, 0.87514, 0.4837
1.20486, 4.19175, 3.41968, 0.190696, 0.0234697, 0.0013743, 2.14832, 0.00619526, -0.00998954, 0.879134, 0.47643
1.21521, 4.18371, 3.43053, 0.190799, 0.023373, 0.00119958, 2.16523, 0.00601081, -0.0100398, 0.883129, 0.468984
1.22504, 4.17517, 3.44113, 0.190972, 0.0244413, -0.000346067, 2.18219, 0.00548635, -0.0109209, 0.887066, 0.46148
1.23507, 4.16657, 3.45182, 0.191225, 0.0240049, -0.000523339, 2.19947, 0.00521379, -0.0108137, 0.891022, 0.453801
1.2451, 4.15788, 3.46251, 0.191441, 0.0226602, 0.000525947, 2.21646, 0.00529123, -0.0100219, 0.894855, 0.446214
1.25511, 4.14904, 3.47315, 0.191614, 0.021093, 0.00189813, 2.23424, 0.00547518, -0.00906352, 0.898795, 0.43824
1.26516, 4.13992, 3.48363, 0.191628, 0.020363, 0.00226069, 2.25171, 0.00540232, -0.00870356, 0.902594, 0.430371
1.27502, 4.13047, 3.49388, 0.19145, 0.0205898, 0.00214926, 2.26911, 0.00532381, -0.00887654, 0.906303, 0.422502
1.28502, 4.1209, 3.50401, 0.19143, 0.0215425, 0.000773874, 2.28703, 0.00481561, -0.00964235, 0.910045, 0.414368
1.29492, 4.1111, 3.514, 0.191409, 0.0216357, 0.00134876, 2.30438, 0.00501336, -0.00960947, 0.913605, 0.406459
1.30511, 4.10117, 3.52401, 0.191519, 0.0208212, 0.00303755, 2.32198, 0.00554078, -0.00894329, 0.917153, 0.398396
1.31517, 4.09098, 3.53395, 0.191781, 0.0205803, 0.00316086, 2.34045, 0.00546776, -0.00885912, 0.920794, 0.389909
1.32506, 4.08044, 3.54369, 0.191926, 0.0193775, 0.00430434, 2.35846, 0.00568668, -0.00813395, 0.924275, 0.381597
1.33497, 4.06972, 3.55337, 0.192016, 0.0197001, 0.00374587, 2.37708, 0.00541181, -0.00844036, 0.927786, 0.372978
1.3451, 4.05891, 3.56294, 0.191941, 0.0182916, 0.0053822, 2.39554, 0.00583891, -0.00753598, 0.931195, 0.364396
1.35496, 4.04782, 3.57227, 0.191863, 0.0183657, 0.00534774, 2.4137, 0.00576736, -0.00762946, 0.934465, 0.355927
1.37006, 4.03078, 3.58585, 0.191789, 0.0190358, 0.0069319, 2.44097, 0.00652166, -0.00775022, 0.939229, 0.343141
1.38001, 4.01916, 3.59486, 0.191776, 0.0184645, 0.00776917, 2.4591, 0.00675003, -0.00739977, 0.942304, 0.334609
1.39015, 4.00736, 3.60384, 0.191899, 0.0166172, 0.00883348, 2.47741, 0.00688397, -0.0064146, 0.945333, 0.325969
1.39998, 3.99514, 3.61259, 0.192063, 0.0161808, 0.00841373, 2.49567, 0.00655688, -0.00633685, 0.948271, 0.317331
1.41014, 3.98263, 3.62107, 0.192245, 0.0167602, 0.0067554, 2.51389, 0.0057997, -0.00692786, 0.951121, 0.308686
1.41995, 3.96993, 3.62942, 0.192389, 0.0171855, 0.0050965, 2.53231, 0.00500819, -0.00743265, 0.953923, 0.299919
1.43011, 3.95704, 3.63763, 0.192343, 0.0167153, 0.00399715, 2.55021, 0.00434716, -0.00741248, 0.956571, 0.291372
1.44013, 3.94413, 3.64577, 0.192259, 0.0153266, 0.00403981, 2.56819, 0.00410449, -0.00677921, 0.959156, 0.282768
1.44997, 3.93115, 3.65375, 0.191943, 0.0142732, 0.00540004, 2.58641, 0.00455228, -0.00612342, 0.961696, 0.274013
1.45993, 3.91806, 3.66148, 0.191687, 0.0138674, 0.00621249, 2.60518, 0.00483254, -0.00586255, 0.964225, 0.264975
1.47003, 3.90455, 3.66875, 0.19145, 0.015475, 0.00620387, 2.6229, 0.00498235, -0.00668314, 0.96653, 0.256418
1.48005, 3.89081, 3.67604, 0.191493, 0.0148393, 0.00552926, 2.64093, 0.00451639, -0.00650345, 0.968805, 0.247697
1.48996, 3.87673, 3.68312, 0.191643, 0.0139231, 0.00451963, 2.65826, 0.00386012, -0.00621836, 0.970918, 0.2393
1.50006, 3.86257, 3.69001, 0.191797, 0.0133347, 0.00358902, 2.6761, 0.0032839, -0.0060736, 0.973016, 0.230635
1.51013, 3.84836, 3.69675, 0.191732, 0.012089, 0.00425589, 2.69386, 0.00341667, -0.00542122, 0.975029, 0.221983
1.52011, 3.83401, 3.70315, 0.191531, 0.0127683, 0.00407133, 2.71218, 0.00334908, -0.00580383, 0.97702, 0.213041
