t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 1.02402, 4.70202, 0.188595, 0.00537698, 0.0118671, -2.51096, 0.00480724, -0.00439597, 0.950674, -0.310125
0.0149243, 1.0086, 4.69001, 0.188715, 0.00608509, 0.0127963, -2.4964, 0.00510348, -0.00491392, 0.948385, -0.317041
0.024924, 0.998433, 4.68183, 0.188648, 0.00786366, 0.0146321, -2.48591, 0.0056603, -0.00607803, 0.946699, -0.322014
0.0349748, 0.988136, 4.67357, 0.188335, 0.00652273, 0.0143626, -2.47645, 0.005723, -0.00542706, 0.945169, -0.326486
0.0449595, 0.977991, 4.66539, 0.188085, 0.00618674, 0.0152246, -2.46614, 0.00615727, -0.00544078, 0.943471, -0.331353
0.0549567, 0.968208, 4.65698, 0.188232, 0.00769032, 0.0170693, -2.45622, 0.00674625, -0.00648916, 0.941804, -0.336033
0.0649953, 0.958378, 4.64846, 0.188308, 0.00470641, 0.0169619, -2.44632, 0.00717183, -0.00510158, 0.940137, -0.340683
0.074966, 0.94833, 4.63985, 0.188511, 0.00429363, 0.0173445, -2.43604, 0.00739636, -0.00501077, 0.938374, -0.345506
0.0849264, 0.93833, 4.63125, 0.188757, 0.00181112, 0.0160237, -2.42606, 0.00718738, -0.00365378, 0.936649, -0.350177
0.0949106, 0.928151, 4.62237, 0.188709, 0.000893989, 0.0152062, -2.41544, 0.00694861, -0.00311807, 0.93478, -0.355146
0.104925, 0.918308, 4.61341, 0.188638, 0.00128066, 0.0152536, -2.40498, 0.00688472, -0.00334325, 0.93291, -0.360029
0.114974, 0.908578, 4.60433, 0.188609, 0.00223693, 0.0161504, -2.39418, 0.00710947, -0.00398919, 0.930947, -0.365064
0.124969, 0.898822, 4.59507, 0.188375, 0.00300327, 0.0170027, -2.38379, 0.0073428, -0.00453968, 0.929032, -0.369898
0.134959, 0.889157, 4.58575, 0.188199, 0.00101293, 0.0165458, -2.37333, 0.00748012, -0.00356979, 0.927092, -0.374743
0.144798, 0.879632, 4.5763, 0.188172, 0.000838256, 0.0177154, -2.36276, 0.0080353, -0.00375051, 0.925092, -0.379639
0.154959, 0.870225, 4.56676, 0.188312, 3.14129, 3.12438, 0.789279, 0.00800093, -0.00316933, 0.923101, -0.38446
0.164927, 0.860743, 4.55704, 0.188218, 3.13973, 3.1253, 0.799503, 0.00786701, -0.00231072, 0.92113, -0.389169
0.179897, 0.846929, 4.54248, 0.188238, 3.1411, 3.12391, 0.816118, 0.00821284, -0.00328162, 0.917858, -0.396811
0.189735, 0.838014, 4.53201, 0.187798, 3.12899, 3.13345, 0.826303, 0.00625782, 0.00413407, 0.915845, -0.401463
0.199677, 0.828962, 4.52187, 0.187738, 3.12718, 3.13445, 0.836534, 0.00618899, 0.00513353, 0.913775, -0.406141
0.209693, 0.819983, 4.51177, 0.187712, 3.12493, 3.13527, 0.846877, 0.00630449, 0.00629783, 0.911656, -0.410857
0.219682, 0.811095, 4.50141, 0.187726, 3.12594, 3.13412, 0.857321, 0.00665035, 0.00556319, 0.909501, -0.415611
0.229674, 0.802485, 4.49083, 0.187925, 3.12717, 3.13387, 0.867667, 0.00653283, 0.00491869, 0.907342, -0.420313
0.240068, 0.793778, 4.4799, 0.187717, 3.12677, 3.13418, 0.877331, 0.00650236, 0.00513361, 0.9053, -0.424692
0.249971, 0.785133, 4.4693, 0.187929, 3.12757, 3.13486, 0.888298, 0.00605097, 0.0048854, 0.902959, -0.429655
0.259964, 0.776746, 4.45853, 0.187901, 3.12822, 3.13311, 0.898296, 0.00672339, 0.00418294, 0.900801, -0.434159
0.269795, 0.768689, 4.44748, 0.188248, 3.1285, 3.13282, 0.908086, 0.00681411, 0.00396086, 0.898666, -0.438563
0.279686, 0.760598, 4.43623, 0.188064, 3.12857, 3.13154, 0.91856, 0.00739272, 0.00360976, 0.896356, -0.443258
0.289756, 0.752494, 4.42529, 0.188327, 3.12882, 3.132, 0.928646, 0.00715102, 0.00356302, 0.89411, -0.447776
0.299922, 0.744293, 4.41419, 0.188014, 3.12795, 3.13214, 0.938769, 0.00729862, 0.00394674, 0.891831, -0.452293
0.309955, 0.736494, 4.40279, 0.187989, 3.12715, 3.13184, 0.948836, 0.00763763, 0.00419623, 0.889541, -0.456772
0.32006, 0.728696, 4.39152, 0.188019, 3.12741, 3.13001, 0.959054, 0.00840826, 0.00362173, 0.887195, -0.461304
0.329789, 0.720909, 4.37998, 0.188347, 3.12772, 3.13111, 0.968879, 0.0078674, 0.00369699, 0.88492, -0.465663
0.344872, 0.70915, 4.36227, 0.188653, 3.12776, 3.13452, 0.983946, 0.00638374, 0.00442612, 0.881388, -0.47233
0.355012, 0.701802, 4.35032, 0.188815, 3.12721, 3.13429, 0.994019, 0.00663994, 0.00457973, 0.878996, -0.47676
0.359978, 0.698089, 4.34442, 0.188934, 3.12809, 3.13285, 0.999699, 0.00707027, 0.00382956, 0.877641, -0.479252
0.374896, 0.687033, 4.32687, 0.188413, 3.12339, 3.13535, 1.01474, 0.00714974, 0.00643787, 0.874, -0.485831
0.384789, 0.679856, 4.31504, 0.188264, 3.12335, 3.1342, 1.02516, 0.00769342, 0.0061364, 0.871456, -0.490374
0.394947, 0.67291, 4.30282, 0.188228, 3.12385, 3.13509, 1.03554, 0.00721543, 0.00610132, 0.8689, -0.494897
0.404936, 0.665995, 4.29045, 0.188429, 3.12621, 3.13445, 1.04596, 0.00693741, 0.00487882, 0.866318, -0.499421
0.414938, 0.65895, 4.27805, 0.188419, 3.12599, 3.13506, 1.0562, -0.00675117, -0.00509211, -0.863748, 0.503853
0.424939, 0.652141, 4.26578, 0.18848, 3.12483, 3.13572, 1.06664, -0.00679227, -0.00572471, -0.861103, 0.508354
0.434941, 0.645584, 4.25338, 0.188673, 3.12448, 3.13549, 1.07701, -0.00700492, -0.00578056, -0.858453, 0.512812
0.444769, 0.635768, 4.23911, 0.187148, 3.12593, 3.13139, 1.08695, -0.00841648, -0.0040636, -0.855899, 0.517058
