t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 2.25964, 2.80564, 0.180025, 0.0167533, -0.00974872, 0.28882, 0.00758785, -0.00602888, 0.143862, 0.98955
0.0100071, 2.27473, 2.81043, 0.179831, 0.0177275, -0.00855992, 0.301931, 0.00811909, -0.00556412, 0.150348, 0.988584
0.0200791, 2.28971, 2.81548, 0.179909, 0.0170406, -0.0079012, 0.315159, 0.00779462, -0.00523855, 0.156888, 0.987572
0.0300663, 2.30446, 2.82069, 0.180021, 0.0162074, -0.00906643, 0.328884, 0.00725213, -0.00579846, 0.163658, 0.986473
0.0450811, 2.32657, 2.82863, 0.180118, 0.0182378, -0.00977546, 0.349054, 0.00813145, -0.00639664, 0.173589, 0.984764
0.0550873, 2.34135, 2.83431, 0.180256, 0.0177056, -0.00927813, 0.362624, 0.007871, -0.00615913, 0.180271, 0.983566
0.065099, 2.35611, 2.84036, 0.180251, 0.0166892, -0.00848468, 0.376, 0.00740457, -0.00572696, 0.186852, 0.982344
0.075139, 2.37082, 2.84644, 0.180241, 0.0176599, -0.00679963, 0.389391, 0.00800525, -0.00504373, 0.19343, 0.981068
0.0851283, 2.38547, 2.85252, 0.180316, 0.0190461, -0.00581768, 0.403046, 0.00874793, -0.00475595, 0.200125, 0.97972
0.0950687, 2.39985, 2.85873, 0.180382, 0.0196083, -0.00657769, 0.417045, 0.00891075, -0.00524699, 0.206972, 0.978292
0.105121, 2.4141, 2.86541, 0.180496, 0.020725, -0.00768449, 0.430541, 0.00930238, -0.00596685, 0.21356, 0.976868
0.115115, 2.42832, 2.87219, 0.180519, 0.020636, -0.00862621, 0.44463, 0.00911288, -0.00648166, 0.220431, 0.975338
0.125106, 2.44261, 2.87928, 0.180524, 0.0189017, -0.00846523, 0.458505, 0.00824155, -0.00626933, 0.227198, 0.973793
0.135097, 2.45686, 2.88664, 0.180512, 0.0214269, -0.00668523, 0.471502, 0.00963615, -0.00575228, 0.233524, 0.972286
0.145074, 2.4709, 2.89391, 0.180497, 0.0201782, -0.0073063, 0.485766, 0.0089142, -0.00597213, 0.240452, 0.970602
0.155091, 2.48473, 2.90122, 0.180319, 0.0228337, -0.00849862, 0.500066, 0.0100101, -0.00694175, 0.247371, 0.968844
0.16511, 2.49806, 2.90764, 0.179753, 0.0346124, -0.00436552, 0.510787, 0.0161926, -0.00648341, 0.252551, 0.967426
0.175086, 2.51178, 2.91569, 0.179722, 0.035055, -0.00396182, 0.524342, 0.0164143, -0.00645542, 0.259104, 0.965688
0.18537, 2.52555, 2.92477, 0.179935, 0.0341257, -0.00283851, 0.535303, 0.0160792, -0.00588087, 0.264405, 0.96426
0.195024, 2.53915, 2.93317, 0.179917, 0.0315653, -0.00333194, 0.54911, 0.0147393, -0.00588216, 0.271059, 0.962432
0.210023, 2.55924, 2.94538, 0.179902, 0.0326282, -0.00283204, 0.571528, 0.0152527, -0.005957, 0.281831, 0.959324
0.220074, 2.57255, 2.95415, 0.179881, 0.0332804, -0.00285957, 0.585376, 0.0155193, -0.00616971, 0.288464, 0.957345
0.230134, 2.58576, 2.96407, 0.180003, 0.0325742, -0.00286845, 0.596727, 0.0151453, -0.00615816, 0.293895, 0.955698
0.240035, 2.59875, 2.97361, 0.180073, 0.0309955, -0.00249329, 0.609803, 0.0144081, -0.00584122, 0.300144, 0.953767
0.250124, 2.61162, 2.98302, 0.180105, 0.0306352, -0.00245136, 0.623395, 0.0142031, -0.00586381, 0.306621, 0.951708
0.260082, 2.6244, 2.9924, 0.180162, 0.0333076, -0.00188948, 0.637106, 0.0155193, -0.00611268, 0.313134, 0.949562
0.270048, 2.6369, 3.00194, 0.180122, 0.0355198, -0.00294099, 0.651011, 0.0163563, -0.00707216, 0.319712, 0.947347
