t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0.390014, 0.0287313, -0.0335198, 9.67766, 0.00213059, -0.00213059, -0.00852238, 0.0019099, -0.00347996, -0.238418, 0.971154
0.396209, -0.00478855, -0.052674, 9.73512, 0, -0.0010653, -0.010653, 0.00186334, -0.00346853, -0.238418, 0.971155
0.407976, 0.0383084, -0.0622511, 9.78301, 0.010653, -0.0010653, -0.00958767, 0.00186334, -0.00346853, -0.238418, 0.971155
0.419968, 0.0143656, 0.00478855, 9.63456, 0.00639178, -0.0010653, -0.00852238, 0.00190973, -0.00348005, -0.238465, 0.971143
0.431966, 0.0239427, -0.0239427, 9.78301, 0.0010653, -0.0010653, -0.00745708, 0.00190973, -0.00348005, -0.238465, 0.971143
0.43805, 0, -0.0335198, 9.71597, 0.00639178, -0, -0.00745708, 0.00190973, -0.00348005, -0.238465, 0.971143
0.449996, 0.0478855, -0.0287313, 9.69681, 0.00426119, -0.00426119, -0.00958767, 0.00190973, -0.00348005, -0.238465, 0.971143
0.45621, 0.0287313, -0.0383084, 9.69202, -0.0010653, -0.00319589, -0.00852238, 0.00186317, -0.00346862, -0.238465, 0.971143
0.467978, 0.0191542, -0.0670397, 9.79258, 0.00639178, 0.00213059, -0.00639178, 0.00186301, -0.00346871, -0.238511, 0.971132
0.479962, 0.0383084, -0.0191542, 9.64893, 0.00426119, -0.00319589, -0.00639178, 0.00186301, -0.00346871, -0.238511, 0.971132
0.491955, 0.0478855, -0.0095771, 9.66329, 0, -0, -0.00958767, 0.00186301, -0.00346871, -0.238511, 0.971132
0.498044, 0.0191542, -0.0478855, 9.74949, 0.00958767, -0, -0.00852238, 0.00186301, -0.00346871, -0.238511, 0.971132
0.510032, 0.0574626, -0.00478855, 9.75906, 0.010653, -0.0010653, -0.00958767, 0.00186301, -0.00346871, -0.238511, 0.971132
0.516231, 0.0143656, -0, 9.66329, -0.00213059, -0, -0.00639178, 0.00190956, -0.00348014, -0.238511, 0.971132
0.527995, 0.0191542, -0.0383084, 9.71118, 0.00426119, -0.0010653, -0.00852238, 0.00186301, -0.00346871, -0.238511, 0.971132
0.539975, 0.0478855, -0.0335198, 9.79737, 0.0117183, 0.0010653, -0.00745708, 0.00187444, -0.00342215, -0.238512, 0.971132
0.551965, 0.0239427, -0.0335198, 9.63935, 0.00213059, -0.00426119, -0.00852238, 0.001921, -0.00343359, -0.238511, 0.971132
0.558048, 0.0095771, -0.0574626, 9.67766, 0.00532648, -0.00319589, -0.00852238, 0.00186301, -0.00346871, -0.238511, 0.971132
0.569972, 0.0143656, -0.0383084, 9.70639, 0.010653, 0.0010653, -0.00852238, 0.00192083, -0.00343368, -0.238558, 0.97112
0.576264, 0.0383084, -0, 9.68724, 0.00426119, -0, -0.00852238, 0.001921, -0.00343359, -0.238511, 0.971132
0.587995, 0.0287313, -0.0335198, 9.70639, 0, -0.00532648, -0.00852238, 0.00192083, -0.00343368, -0.238558, 0.97112
0.600172, 0.0383084, -0.0287313, 9.79737, 0.00532648, -0, -0.00958767, 0.0019094, -0.00348023, -0.238558, 0.97112
0.611978, 0.0335198, -0.0287313, 9.81174, 0.00852238, -0.00319589, -0.0117183, 0.00190923, -0.00348032, -0.238604, 0.971109
0.618072, 0, -0.00478855, 9.64414, -0.0010653, -0.00213059, -0.00958767, 0.00190906, -0.00348042, -0.238651, 0.971097
0.629988, 0.0622511, -0.0287313, 9.74949, 0.00319589, -0.00319589, -0.010653, 0.00186234, -0.00346906, -0.238698, 0.971086
0.636225, 0.00478855, -0.0478855, 9.73512, 0.00958767, -0, -0.010653, 0.00186218, -0.00346915, -0.238744, 0.971075
0.647969, 0.0287313, -0.0430969, 9.66329, 0.00745708, -0, -0.00852238, 0.00190873, -0.0034806, -0.238744, 0.971074
0.659971, 0.0287313, -0.052674, 9.67287, 0, 0.00213059, -0.00532648, 0.00192017, -0.00343405, -0.238744, 0.971075
0.672, -0.0430969, -0.0335198, 9.71597, 0.00319589, -0.00213059, -0.00639178, 0.00187379, -0.00342251, -0.238698, 0.971086
0.678067, 0.0191542, -0.0383084, 9.70639, 0.00958767, 0.0010653, -0.00958767, 0.00188523, -0.00337596, -0.238698, 0.971086
0.689996, 0.0670397, -0.0239427, 9.7016, 0.00532648, -0, -0.00852238, 0.00193178, -0.0033874, -0.238698, 0.971086
0.696216, 0.0239427, -0.0191542, 9.73512, -0.0010653, -0.00319589, -0.010653, 0.00187379, -0.00342251, -0.238698, 0.971086
0.707986, 0.0622511, -0.0287313, 9.74949, 0.00532648, -0, -0.00958767, 0.00187379, -0.00342251, -0.238698, 0.971086
0.719972, 0.0430969, -0.0095771, 9.72076, 0.00319589, -0, -0.00852238, 0.00187379, -0.00342251, -0.238698, 0.971086
0.73197, 0.0814053, -0.00478855, 9.67766, 0.00213059, -0.00213059, -0.010653, 0.00187362, -0.0034226, -0.238744, 0.971075
0.738077, 0.0383084, -0.0095771, 9.67287, 0.0010653, -0.00319589, -0.010653, 0.00187362, -0.0034226, -0.238744, 0.971075
0.749987, 0.0383084, -0.052674, 9.73033, 0.00745708, -0, -0.0127836, 0.00187362, -0.0034226, -0.238744, 0.971075
0.756218, 0.0095771, -0.0095771, 9.74949, 0.00958767, -0.00319589, -0.00958767, 0.00187346, -0.00342269, -0.238791, 0.971063
0.767967, 0.0430969, -0.0383084, 9.68724, 0.00213059, -0.00213059, -0.00958767, 0.00187329, -0.00342278, -0.238837, 0.971052
0.77998, 0.0478855, -0.0239427, 9.64893, 0.0010653, -0.00319589, -0.010653, 0.00186184, -0.00346933, -0.238837, 0.971052
0.791969, 0.0814053, -0.0095771, 9.76864, 0.00958767, -0, -0.010653, 0.00186151, -0.00346951, -0.23893, 0.971029
0.798041, 0.0335198, -0.0335198, 9.69681, 0.00852238, -0, -0.010653, 0.00190806, -0.00348097, -0.23893, 0.971029
0.809988, 0.052674, -0.0239427, 9.6585, 0.00213059, -0.00213059, -0.00958767, 0.00190806, -0.00348097, -0.23893, 0.971029
0.816262, 0.0239427, -0.0095771, 9.71118, 0.00319589, -0.00319589, -0.00852238, 0.00190806, -0.00348097, -0.23893, 0.971029
0.827985, 0, -0.0287313, 9.71597, 0.00426119, -0, -0.00958767, 0.00190806, -0.00348097, -0.23893, 0.971029
