t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 1.53147, 1.43688, 0.177467, 3.11495, -3.13846, 2.59601, -0.0124064, -0.0050988, -0.269374, 0.962942
0.00998712, 1.53151, 1.43696, 0.177445, 3.11532, -3.138, 2.59572, -0.0121664, -0.00527199, -0.269514, 0.962905
0.0201104, 1.53147, 1.43699, 0.177494, 3.11512, -3.13847, 2.59567, -0.0123246, -0.00507141, -0.269539, 0.962897
0.0301864, 1.53145, 1.43694, 0.177519, 3.11596, -3.1381, 2.59571, -0.0118723, -0.00513853, -0.269522, 0.962907
0.040051, 1.53145, 1.43696, 0.177552, 3.11523, -3.13889, 2.59569, -0.0123291, -0.00485489, -0.269536, 0.962899
0.0502086, 1.53147, 1.43697, 0.1774, 3.11553, -3.13787, 2.59567, -0.0120471, -0.00530422, -0.269537, 0.9629
0.060118, 1.53143, 1.43689, 0.177387, 3.11582, -3.13773, 2.59588, -0.0118892, -0.005333, -0.269435, 0.96293
0.0701132, 1.53142, 1.43695, 0.177511, 3.11546, -3.13828, 2.59584, -0.0121379, -0.00511564, -0.269459, 0.962922
0.0800989, 1.53144, 1.43694, 0.177521, 3.11475, -3.13882, 2.59574, -0.0125525, -0.00495327, -0.269507, 0.962904
0.0901504, 1.53145, 1.43693, 0.177417, 3.11569, -3.13767, 2.59585, -0.0119425, -0.00538048, -0.269452, 0.962925
0.100075, 1.53144, 1.43689, 0.177435, 3.115, -3.13817, 2.59591, -0.0123434, -0.00523114, -0.269422, 0.962929
0.115072, 1.53139, 1.43692, 0.177432, 3.11498, -3.1383, 2.59603, -0.0123696, -0.00516977, -0.269368, 0.962944
0.125195, 1.53142, 1.43691, 0.177397, 3.11597, -3.13731, 2.59563, -0.0117578, -0.00551505, -0.269553, 0.962898
0.135115, 1.53147, 1.43695, 0.17746, 3.11597, -3.13767, 2.59554, -0.0118096, -0.00534406, -0.269598, 0.962886
0.145095, 1.53147, 1.43691, 0.177468, 3.11508, -3.13832, 2.59578, -0.012326, -0.00514976, -0.269486, 0.962912
0.155187, 1.53143, 1.43688, 0.177455, 3.11551, -3.13821, 2.59588, -0.0121032, -0.00514128, -0.26944, 0.962927
