t, x, y, z, angX, angY, angZ, qx, qy, qz, qw
0, 2.38198, 1.42339, 0.178968, 0.00377933, -0.0110064, 0.355783, 0.000886001, -0.00575071, 0.176941, 0.984204
0.0150144, 2.39178, 1.42733, 0.179236, 0.00269146, -0.0109131, 0.362668, 0.000339606, -0.00560976, 0.180332, 0.98359
0.0250771, 2.3983, 1.43007, 0.179291, 0.00239454, -0.0109072, 0.367225, 0.000181398, -0.00558049, 0.182573, 0.983176
0.0349793, 2.40496, 1.43282, 0.179318, 0.00434934, -0.0102036, 0.371542, 0.00119491, -0.00541564, 0.184691, 0.982781
0.0449996, 2.41167, 1.43556, 0.179337, 0.00371484, -0.0104363, 0.376136, 0.000849058, -0.00547337, 0.186949, 0.982354
0.055042, 2.41836, 1.43846, 0.179348, 0.00303592, -0.0108311, 0.38077, 0.000465692, -0.00560493, 0.189226, 0.981917
0.0650828, 2.42514, 1.44143, 0.179364, 0.00205315, -0.0111637, 0.385745, -6.23917e-05, -0.00567508, 0.19167, 0.981443
0.0750856, 2.43188, 1.44443, 0.179258, 0.00290772, -0.0110208, 0.390059, 0.00035839, -0.00568766, 0.193784, 0.981028
0.0850728, 2.43868, 1.44746, 0.179353, 0.00241764, -0.0111108, 0.394844, 9.56802e-05, -0.00568454, 0.196132, 0.980561
0.0950727, 2.44542, 1.45047, 0.179188, 0.00396983, -0.0115048, 0.399655, 0.000803539, -0.00603189, 0.198485, 0.980085
0.105115, 2.45233, 1.45345, 0.179286, 0.00311309, -0.0119521, 0.405095, 0.000322528, -0.00616698, 0.201152, 0.97954
0.115096, 2.45922, 1.4566, 0.179232, 0.00458876, -0.0116199, 0.409736, 0.0010644, -0.00615517, 0.203421, 0.979071
0.124985, 2.46612, 1.45974, 0.179284, 0.0046533, -0.0120515, 0.41507, 0.0010351, -0.00637577, 0.206031, 0.978524
0.134845, 2.47301, 1.46291, 0.179229, 0.00467269, -0.013101, 0.420227, 0.000918682, -0.00689364, 0.208551, 0.977987
0.144965, 2.47996, 1.46619, 0.179212, 0.00494691, -0.0134557, 0.425755, 0.000996166, -0.00709845, 0.211252, 0.977405
0.159915, 2.49051, 1.47134, 0.179252, 0.00368455, -0.0133695, 0.433174, 0.00036267, -0.00692439, 0.21488, 0.976616
0.170053, 2.49764, 1.47479, 0.179311, 0.00416831, -0.012753, 0.438229, 0.000648266, -0.00667698, 0.217348, 0.976071
0.175024, 2.50117, 1.47653, 0.179315, 0.00341465, -0.0134601, 0.44106, 0.000193772, -0.00694046, 0.218731, 0.975761
0.190017, 2.51182, 1.48183, 0.17928, 0.00427094, -0.0141225, 0.448876, 0.000510331, -0.00735934, 0.222538, 0.974896
0.200014, 2.51944, 1.48567, 0.179589, 3.14006, -3.12558, -2.68446, -0.00255981, -0.0076267, 0.226578, 0.97396
0.210033, 2.52659, 1.48947, 0.179504, 3.13865, -3.12493, -2.67924, -0.00333869, -0.00777118, 0.229127, 0.97336
0.220036, 2.53369, 1.49324, 0.179533, 3.13779, -3.12473, -2.67356, -0.00380234, -0.00776008, 0.231894, 0.972703
0.230051, 2.54085, 1.49707, 0.17943, 3.13974, -3.12454, -2.66831, -0.00289674, -0.00807095, 0.234439, 0.972093
0.239843, 2.54802, 1.50079, 0.17948, 3.14074, -3.12412, -2.66289, -0.00248676, -0.00838777, 0.237069, 0.971453
0.250079, 2.55524, 1.50472, 0.179513, 3.14068, -3.12361, -2.65765, -0.00259872, -0.00861718, 0.239612, 0.970827
0.259985, 2.56246, 1.50882, 0.179471, 3.14012, -3.12382, -2.65252, -0.00286625, -0.00844237, 0.242103, 0.97021
0.270044, 2.56979, 1.51301, 0.179487, 3.13926, -3.12448, -2.64758, -0.00322248, -0.00800954, 0.244504, 0.96961
0.280097, 2.57714, 1.5172, 0.179477, 3.1387, -3.1249, -2.64231, -0.00346432, -0.00772739, 0.247061, 0.968963
0.290026, 2.58447, 1.52144, 0.179573, 3.13845, -3.12472, -2.63721, -0.00362449, -0.0077777, 0.24953, 0.968329
0.29987, 2.59168, 1.52574, 0.179677, 3.13928, -3.12452, -2.63176, -0.00327235, -0.00796673, 0.252163, 0.967647
0.31004, 2.59896, 1.53004, 0.179721, 3.14031, -3.12408, -2.62655, -0.0028516, -0.00830302, 0.25468, 0.966986
0.319957, 2.60623, 1.53445, 0.179709, 3.13999, -3.12371, -2.62116, -0.00307446, -0.00843401, 0.257287, 0.966293
0.330211, 2.61349, 1.53896, 0.17961, 3.14046, -3.12323, -2.61588, -0.00293151, -0.00871734, 0.259834, 0.965609
0.340052, 2.6208, 1.54343, 0.179296, 0.00156858, -0.0183049, 0.530569, -0.00164277, -0.00903778, 0.262166, 0.964979
0.355096, 2.63168, 1.55025, 0.179201, 0.000906227, -0.0194166, 0.538692, -0.00214659, -0.00947868, 0.266084, 0.963901
0.365012, 2.63897, 1.55497, 0.179254, 0.000310022, -0.0199721, 0.5443, -0.00253494, -0.00966003, 0.268788, 0.963148
0.375042, 2.64632, 1.55973, 0.179392, 0.000139788, -0.0199477, 0.549734, -0.00263978, -0.00961826, 0.271405, 0.962414
0.385036, 2.65364, 1.56462, 0.179538, 3.14132, -3.12159, -2.58673, -0.00286782, -0.00958021, 0.273874, 0.961714
0.395051, 2.66099, 1.56954, 0.179685, 3.14135, -3.12191, -2.58143, -0.0028388, -0.009422, 0.276422, 0.960986
0.405102, 2.66843, 1.5745, 0.179779, 3.14102, -3.12197, -2.57598, -0.00301014, -0.00934022, 0.279042, 0.960229
0.415046, 2.67583, 1.57955, 0.179798, 3.14152, -3.12262, -2.57048, -0.00270819, -0.00909265, 0.281679, 0.959462
0.425067, 2.68327, 1.58459, 0.179796, 3.14108, -3.12268, -2.56507, -0.002935, -0.0089935, 0.284275, 0.958696
0.435088, 2.69079, 1.58965, 0.179844, 0.000283998, -0.0183559, 0.58225, -0.00249829, -0.00883237, 0.287017, 0.957882
0.445027, 2.6983, 1.59474, 0.179866, 0.00109229, -0.017936, 0.588018, -0.00207613, -0.00874135, 0.289775, 0.957053
0.455126, 2.70576, 1.59987, 0.179865, 0.00177779, -0.017992, 0.593957, -0.00178254, -0.00886221, 0.292613, 0.956188
0.464992, 2.71325, 1.6051, 0.179795, 0.00140678, -0.0182466, 0.60018, -0.00202494, -0.00892338, 0.295588, 0.955272
0.475029, 2.72069, 1.61035, 0.17967, 0.00266931, -0.0176097, 0.606107, -0.00135386, -0.00880178, 0.298413, 0.954395
0.485148, 2.72819, 1.61565, 0.17958, 0.0021232, -0.0179334, 0.612304, -0.00169026, -0.00886959, 0.30137, 0.953464
0.494864, 2.7357, 1.62116, 0.179632, 0.00258863, -0.0164075, 0.618037, -0.00126196, -0.00820868, 0.304103, 0.952603
0.50517, 2.74328, 1.62673, 0.179814, 0.00194571, -0.0155834, 0.623965, -0.00146575, -0.00771412, 0.306929, 0.9517
0.514978, 2.75075, 1.6323, 0.180007, 0.00190937, -0.0153339, 0.6299, -0.00146727, -0.0075855, 0.309753, 0.950786
0.530078, 2.7619, 1.64073, 0.180068, 0.00360682, -0.0147636, 0.638969, -0.00060632, -0.00757458, 0.314055, 0.949374
0.540018, 2.76943, 1.64657, 0.180093, 0.0019988, -0.0153084, 0.645014, -0.00147809, -0.00757623, 0.316929, 0.948418
0.550005, 2.77686, 1.65249, 0.179988, 0.00225406, -0.0143594, 0.650876, -0.00122766, -0.00716312, 0.319708, 0.947488
0.559994, 2.78434, 1.6584, 0.179959, 0.00186514, -0.0141095, 0.657301, -0.00139437, -0.00697808, 0.322752, 0.946457
0.570048, 2.79177, 1.66436, 0.179953, 0.00212164, -0.0142544, 0.663476, -0.00131825, -0.00708402, 0.325671, 0.945456
0.580228, 2.79913, 1.67049, 0.179976, 0.00275629, -0.0140442, 0.669348, -0.00100482, -0.00708509, 0.328444, 0.944496
0.590066, 2.80653, 1.67667, 0.180043, 0.00153386, -0.0137147, 0.675431, -0.00154846, -0.00672407, 0.331319, 0.943493
0.600016, 2.81394, 1.68294, 0.18018, 3.14106, -3.12814, -2.46012, -0.00249804, -0.00625187, 0.334176, 0.942486
0.610026, 2.82128, 1.68916, 0.180243, 3.14147, -3.12861, -2.45394, -0.00224676, -0.00608895, 0.337085, 0.941452
0.619961, 2.8285, 1.69545, 0.1803, 3.1413, -3.12745, -2.44788, -0.00253912, -0.00659925, 0.339937, 0.940422
0.630059, 2.83568, 1.70185, 0.18025, 3.1415, -3.1272, -2.44187, -0.00251116, -0.00674286, 0.342761, 0.939395
0.640036, 2.84305, 1.70828, 0.180222, 3.14072, -3.12749, -2.43522, -0.00284816, -0.00646597, 0.345885, 0.93825
0.65017, 2.85051, 1.71475, 0.180121, 3.14127, -3.12918, -2.42873, -0.00231587, -0.0057596, 0.348926, 0.93713
0.660039, 2.8579, 1.7212, 0.179989, 0.000237224, -0.0119829, 0.719577, -0.00199842, -0.00564956, 0.352069, 0.935955
0.670035, 2.8651, 1.72785, 0.179958, 0.000299634, -0.012739, 0.725689, -0.00212069, -0.00600793, 0.354927, 0.934872
0.685093, 2.87593, 1.73801, 0.180057, 0.000853836, -0.0134897, 0.735154, -0.00202539, -0.00644767, 0.359344, 0.933181
0.690084, 2.87953, 1.74143, 0.180165, 0.000857343, -0.0132835, 0.738331, -0.0019968, -0.00634893, 0.360827, 0.932609
0.705102, 2.89043, 1.75178, 0.18038, 3.14156, -3.12875, -2.39364, -0.00236298, -0.0059715, 0.365313, 0.930863
0.715067, 2.89759, 1.75876, 0.180478, 0.000404219, -0.0126016, 0.7543, -0.0021325, -0.00593237, 0.368264, 0.9297
0.72507, 2.90464, 1.76584, 0.18047, 0.00070061, -0.0131376, 0.760557, -0.00211291, -0.0062295, 0.371169, 0.928542
0.735015, 2.9117, 1.77289, 0.180408, 0.00032068, -0.0139811, 0.767176, -0.00246751, -0.0065425, 0.37424, 0.927306
0.745092, 2.91881, 1.78004, 0.180255, 0.00106511, -0.0139251, 0.773662, -0.00213345, -0.00664894, 0.377243, 0.926088
