t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.0239427, -0.0191542, 9.69202, 0.00639178, -0.00426119, -0.00639178, 0.00209922, -0.000506049, -0.190956, 0.981596
0.00597882, -0.0287313, -0.0383084, 9.66808, 0.0010653, -0, -0.00852238, 0.00209009, -0.000553005, -0.190909, 0.981605
0.0179737, -0.0335198, -0.0383084, 9.72554, 0.00745708, -0, -0.0117183, 0.00209924, -0.000505949, -0.190909, 0.981605
0.0299795, 0.0430969, -0.0239427, 9.71118, 0.00532648, -0.00213059, -0.010653, 0.00209009, -0.000553005, -0.190909, 0.981605
0.0359883, 0, -0.0191542, 9.68245, 0.00426119, -0, -0.00852238, 0.00209009, -0.000553005, -0.190909, 0.981605
0.0480268, -0.0670397, -0.0622511, 9.69681, 0.00213059, -0.0010653, -0.00852238, 0.00209924, -0.000505949, -0.190909, 0.981605
0.0600162, 0.0095771, -0.0335198, 9.72076, 0.00745708, 0.00213059, -0.00958767, 0.00209922, -0.000506049, -0.190956, 0.981596
0.0659821, -0.00478855, -0.0191542, 9.64893, 0.00639178, -0.00213059, -0.00958767, 0.00209922, -0.000506049, -0.190956, 0.981596
0.0780077, -0.0383084, -0, 9.7447, 0.00426119, -0, -0.0127836, 0.00209922, -0.000506049, -0.190956, 0.981596
0.0899765, 0, -0.0478855, 9.71118, 0.00426119, -0.00319589, -0.0117183, 0.00209922, -0.000506049, -0.190956, 0.981596
0.0959766, -0.0095771, -0.0718282, 9.70639, 0.00426119, -0.0010653, -0.00958767, 0.0020992, -0.00050615, -0.191003, 0.981587
0.108032, -0.00478855, -0, 9.72076, 0.00426119, -0.00213059, -0.00745708, 0.00209004, -0.000553206, -0.191003, 0.981587
0.119986, -0.0239427, -0.0478855, 9.71597, 0.00319589, 0.00213059, -0.00639178, 0.0020992, -0.00050615, -0.191003, 0.981587
0.125981, 0.0143656, -0.0335198, 9.73033, 0.00532648, -0.00213059, -0.010653, 0.00209004, -0.000553206, -0.191003, 0.981587
0.138012, 0, 0.0143656, 9.70639, 0.00319589, -0.0010653, -0.00852238, 0.0021371, -0.000562362, -0.191003, 0.981587
0.150015, -0.052674, -0.0239427, 9.67287, 0.0010653, -0.00213059, -0.0117183, 0.00209004, -0.000553206, -0.191003, 0.981587
0.155984, 0, -0.0622511, 9.73512, 0.00426119, -0, -0.00958767, 0.00209007, -0.000553105, -0.190956, 0.981596
