t, a_x, a_y, a_z, w_x, w_y, w_z, qx, qy, qz, qw 
0, 0.052674, -0.0287313, 9.73991, 0.00639178, 0.0010653, -0.00745708, 0.00301458, -0.00467276, -0.186938, 0.982356
0.0119593, 0.0766168, -0, 9.72076, 0.00426119, -0, -0.00852238, 0.00306167, -0.00468172, -0.186937, 0.982356
0.0180345, 0.052674, 0.0239427, 9.71597, 0.00532648, -0, -0.00532648, 0.00307064, -0.00463463, -0.186938, 0.982356
0.0299997, 0.0622511, 0.0095771, 9.7016, 0.00319589, -0.00213059, -0.00852238, 0.00307086, -0.00463449, -0.18689, 0.982365
0.0419707, 0.0430969, 0.0143656, 9.70639, 0.0010653, -0.00213059, -0.00852238, 0.00306167, -0.00468172, -0.186937, 0.982356
0.0480435, 0.0718282, 0.0335198, 9.63456, 0.00426119, -0.00319589, -0.0117183, 0.00306145, -0.00468187, -0.186984, 0.982347
0.0599744, 0.0766168, 0.0143656, 9.67287, 0.00532648, 0.0010653, -0.00958767, 0.00306145, -0.00468187, -0.186984, 0.982347
0.0719707, 0.124502, -0.00478855, 9.70639, 0.00319589, -0.00213059, -0.00958767, 0.00306122, -0.00468202, -0.187032, 0.982338
0.0780427, 0.052674, 0.0095771, 9.7016, 0.00426119, -0, -0.0149142, 0.00306122, -0.00468202, -0.187032, 0.982338
0.0899818, 0.0239427, 0.00478855, 9.76864, 0.00426119, -0, -0.00958767, 0.003061, -0.00468217, -0.187079, 0.982329
0.101993, 0.0670397, -0.0095771, 9.72554, 0.00532648, -0, -0.00532648, 0.00306122, -0.00468202, -0.187032, 0.982338
0.108059, 0.095771, -0.0095771, 9.70639, 0.00319589, 0.00319589, -0.00745708, 0.00306122, -0.00468202, -0.187032, 0.982338
0.11998, 0.0574626, 0.0191542, 9.68724, 0.00319589, -0, -0.00639178, 0.00307019, -0.00463493, -0.187032, 0.982338
0.131978, 0.052674, -0, 9.72554, 0.00319589, -0.0010653, -0.00852238, 0.00307019, -0.00463493, -0.187032, 0.982338
0.138055, 0.0287313, -0, 9.67287, 0.00532648, -0.00213059, -0.00852238, 0.00307019, -0.00463493, -0.187032, 0.982338
0.14997, 0.052674, -0, 9.73991, 0.00532648, -0.0010653, -0.0117183, 0.00307019, -0.00463493, -0.187032, 0.982338
0.161998, 0.0574626, 0.00478855, 9.73991, 0.00213059, -0.00213059, -0.00532648, 0.00307019, -0.00463493, -0.187032, 0.982338
0.168051, 0.0574626, 0.0095771, 9.72554, 0.00532648, -0, -0.00745708, 0.00306997, -0.00463507, -0.187079, 0.982329
0.179973, 0.0478855, -0.00478855, 9.69681, 0.00426119, -0.00532648, -0.00852238, 0.00307019, -0.00463493, -0.187032, 0.982338
0.191973, 0.0622511, 0.0095771, 9.66329, 0.00639178, -0, -0.00745708, 0.00310832, -0.00469098, -0.187031, 0.982338
0.198035, 0.0287313, -0.0287313, 9.69202, 0.00319589, -0.00532648, -0.00852238, 0.00306122, -0.00468202, -0.187032, 0.982338
0.209983, 0.052674, 0.0095771, 9.68724, 0.00319589, -0, -0.00639178, 0.00306122, -0.00468202, -0.187032, 0.982338
0.22197, 0.0622511, -0, 9.72076, 0.00745708, -0.00532648, -0.00532648, 0.00310832, -0.00469098, -0.187031, 0.982338
0.228052, 0.0383084, -0.0239427, 9.69202, 0.00532648, -0.00213059, -0.00958767, 0.00310854, -0.00469084, -0.186984, 0.982347
0.239969, 0.0430969, -0, 9.68245, 0.00745708, -0.0010653, -0.00852238, 0.00310854, -0.00469084, -0.186984, 0.982347
0.251984, 0.0574626, 0.0143656, 9.71597, 0.0010653, -0.0010653, -0.010653, 0.00310854, -0.00469084, -0.186984, 0.982347
0.264115, 0.0430969, -0.0335198, 9.64893, 0.00426119, 0.0010653, -0.010653, 0.00310832, -0.00469098, -0.187031, 0.982338
0.270034, 0.095771, 0.0095771, 9.68245, 0.00532648, -0.00745708, -0.010653, 0.00310832, -0.00469098, -0.187031, 0.982338
0.281982, 0.0287313, 0.0095771, 9.6585, 0, -0.0010653, -0.010653, 0.00310809, -0.00469113, -0.187078, 0.982329
0.288047, 0.0574626, -0.0287313, 9.73033, 0.00852238, -0, -0.00958767, 0.00310809, -0.00469113, -0.187078, 0.982329
0.29998, 0.0383084, 0.0095771, 9.64893, 0.00426119, -0, -0.00852238, 0.00310787, -0.00469128, -0.187125, 0.98232
0.311993, 0.0191542, -0, 9.69681, 0.00532648, -0, -0.00745708, 0.00310809, -0.00469113, -0.187078, 0.982329
0.318039, 0.0478855, -0.0239427, 9.67766, 0.00745708, -0.00426119, -0.010653, 0.00310809, -0.00469113, -0.187078, 0.982329
